asn,count,cone,name
3573,96,119,Accenture LLP
262663,93,195,METROFLEX TELECOMUNICACOES LTDA
21433,80,63,Accenture UK Limited
13150,48,22,CATO NETWORKS LTD
55256,48,12,Netskope Inc
42473,46,80,Anexia Cloud Solutions GmbH
268314,46,59,SUPORTI TELECOM
25369,39,29,Hydra Communications Ltd
205563,38,16,Marc Gomez
23154,37,5,Sanmina-SCI Corporation
31898,36,67,Oracle Cloud
209847,33,14,WorkTitans B.V.
52468,32,4613,UFINET PANAMA S.A.
14593,32,32,SpaceX Starlink
136258,32,14,"BrainStorm Network, Inc"
72,32,2,Schlumberger Limited
16839,32,0,"SERVICENOW, INC."
205080,31,0,SITA
53153,30,10,CINTE Telecom Comercio e Servicos Ltda.
262727,30,9,AtualNet Provedor de Internet Ltda
30012,30,9,"Universal Music Group, INC."
45102,30,2,"Alibaba (US) Technology Co., Ltd."
35928,30,0,"BECKMAN COULTER, INC."
20473,29,13673,"The Constant Company, LLC"
9498,29,7394,Bharti Airtel Ltd.
15695,29,21,Expereo International BV
203391,29,0,Cloud DNS Ltd
9002,28,45924,RETN Limited
272218,28,4,Luiz Henrique Rocha Maciel
40934,28,2,Fortinet Inc.
12222,28,1,"Akamai Technologies, Inc."
52025,27,2066,ParadoxNetworks Limited
45204,27,21,GEMNET LLC
10798,27,19,The Standard Bank of South Africa (Proprietary) Limited
212085,27,6,Alexander Bruegmann
54253,27,1,Oracle Corporation
23764,26,2434,China Telecom Global
56910,26,17,Digital Realty Hellas Single Member S.A
25818,26,10,cmcnetworks
36224,26,2,HCL AMERICA INC
30844,25,552,Liquid Intelligent Technologies 
398465,25,28,Rackdog LLC
28590,25,10,Directnet Prestacao de Servicos Ltda.
30103,25,1,"Zoom Video Communications, Inc"
54119,25,1,"WhiteSky Communications, LLC."
10122,24,15,NETSTAR (SG) PTE. LTD.
6507,24,2,"Riot Games, Inc"
43009,24,1,Infobip Limited
14630,24,0,"Invesco Group Services, Inc."
47583,24,0,Hostinger International Limited
3216,23,38066,Vimpelcom PJSC
7713,23,6913,PT Telkom Indonesia Tbk
37662,23,413,West Indian Ocean Cable Company (WIOCC)
3360,23,7,DXC US Latin America Corporation
36692,23,3,"Cisco OpenDNS, LLC"
132203,23,2,Tencent
10780,23,0,"Pure Storage, INC."
19637,23,0,Avago Technologies U.S. Inc.
36236,22,161,"NetActuate, Inc"
57629,22,6,LLC IVI.RU
5091,22,1,"Stripe, Inc."
22379,22,0,Manifold Services Inc
34927,21,32458,iFog GmbH
