asn,cone,verdict,secure_parents,parent_count
37721,60817,VULNERABLE (Atlas Verified),"[12956, 2914, 1273, 5511, 6762, 174, 6830, 1299, 6453, 3320, 3257, 6939, 3356, 6461]",14
35280,53251,PARTIAL: VULNERABLE (Mixed),"[12956, 2914, 1299, 6453, 3356]",6
17639,43164,PARTIAL: VULNERABLE (Mixed),"[3491, 5511, 8220, 174, 1299, 15412, 8757, 6939, 3356, 701]",16
34549,35521,PARTIAL: VULNERABLE (Mixed),"[2914, 5511, 174, 6830, 1299, 3320, 3257]",8
3216,35392,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 1299, 6453, 1273, 3356]",8
34927,34524,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 6830, 6204, 1299, 3257, 6939, 3356, 5405]",11
33891,33704,PARTIAL: VULNERABLE (Mixed),"[1299, 3320, 3257, 3356]",6
48362,33110,PARTIAL: VULNERABLE (Mixed),[1299],4
20485,28956,PARTIAL: VULNERABLE (Mixed),"[3491, 6762, 174, 1299, 6453, 3356]",7
12779,26575,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 3257]",5
213241,25054,PARTIAL: VULNERABLE (Mixed),"[6696, 50309]",3
50300,22915,PARTIAL: VULNERABLE (Mixed),"[2914, 174, 3257, 6939, 3356]",6
29632,22186,PARTIAL: VULNERABLE (Mixed),"[2914, 1299]",3
3214,21983,PARTIAL: VULNERABLE (Mixed),"[50629, 5511, 6830, 60144, 1299, 6453, 6939]",7
48185,21632,PARTIAL: VULNERABLE (Mixed),"[2914, 1299, 6939, 3356]",6
56655,14403,PARTIAL: VULNERABLE (Mixed),"[1299, 6939]",3
212024,14225,PARTIAL: VULNERABLE (Mixed),[20473],2
25091,13758,PARTIAL: VULNERABLE (Mixed),"[5511, 6762, 1299, 6453, 3257, 3356]",8
1836,13396,PARTIAL: VULNERABLE (Mixed),"[34309, 5511, 174, 1299, 3356]",7
56662,12868,PARTIAL: VULNERABLE (Mixed),[20473],4
31133,11436,PARTIAL: VULNERABLE (Mixed),"[6762, 174, 1299, 6939]",6
12389,11001,VULNERABLE (Atlas Verified),"[3491, 1273, 5511, 6762, 174, 1299, 3257, 6939]",11
49673,8979,PARTIAL: VULNERABLE (Mixed),[50384],6
208972,8197,PARTIAL: VULNERABLE (Mixed),[6204],6
38001,8019,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 174, 6939]",8
7713,6914,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 5511, 6762, 174, 1299, 6453, 57463, 3257, 6939, 3356, 701]",15
8966,6882,PARTIAL: VULNERABLE (Mixed),"[2914, 3491, 8452, 1273, 5511, 6762, 174, 1299, 3257, 3356, 4637]",14
1103,6484,PARTIAL: VULNERABLE (Mixed),"[6830, 20562, 3257]",5
58057,6101,PARTIAL: VULNERABLE (Mixed),"[174, 50673, 20473, 6939, 51519]",17
8218,6055,PARTIAL: VULNERABLE (Mixed),"[1299, 6461]",3
9304,5090,PARTIAL: VULNERABLE (Mixed),"[2914, 1273, 9318, 5511, 6762, 174, 15412, 6453, 3257, 9498, 6939, 4766]",15
52468,4916,PARTIAL: VULNERABLE (Mixed),"[12956, 52320, 5511, 6762, 174, 1299, 22356, 6453, 3356]",12
13030,4802,VULNERABLE (Atlas Verified),"[3320, 1299]",2
15830,4331,PARTIAL: VULNERABLE (Mixed),"[2497, 2914, 12956, 1221, 6762, 9498, 37100, 1299, 13335, 3257, 4826, 6939, 3356, 4637]",17
38255,4182,VULNERABLE STABLE,[23911],1
