asn,name,cc,real_cone_size,observed_tree_size,secure_pct,vulnerable_pct,vuln_count
34224,Neterra Ltd.,BG,137,509386364203038205135133278210792571,5.026026411037328,68.75048878583372,350205615197975922889569795774245631
8717,A1 Bulgaria EAD,BG,194,159056660489002755305657517376034510,5.026026411037328,68.75048878583372,109352231532613462327884839699808188
9002,RETN Limited,RU,12943,723717570627254375993591087849,5.026026411037328,68.75048878583372,497559367235198796155834105791
31133,MegaFon PJSC,RU,3113,21286196072,5.026026657751628,68.75048373368192,14634362768
20485,JSC TransTeleKom,RU,2529,4683932740886,5.026026412763335,68.7504887952313,3220226654199
3356,Lumen (Level 3),US,61283,10292991269541758956,5.02602641103735,68.75048878583368,7076481808493146272
701,Verizon Business,US,4741,103506232,5.026331168156136,68.75003429745176,71160570
13536,"FirstLight Fiber, Inc.",US,220,226,0.8849557522123894,53.09734513274337,120
46887,Crown Castle Fiber LLC,US,1182,2233,2.552619793999104,50.91804746977161,1137
38255,China Education and Research Network (CERNET),CN,4180,4150,0.0,99.49397590361446,4129
2914,"NTT America, Inc.",US,39842,166762306189713193162,5.026026411037327,68.75048878583372,114649900615956470433
327814,Ecoband Ltd,GH,19,209,3.827751196172249,76.55502392344498,160
17645,NTT Singapore Pte Ltd,SG,116,743,1.3458950201884252,70.79407806191116,526
174,"Cogent Communications, LLC",US,56709,779110,5.049094479598517,68.5728587747558,534258
6453,TATA Communications (America) Inc,US,45423,331092245,5.025983317730683,68.75064047483203,227628039
6939,Hurricane Electric LLC,US,34660,76915746970506598013767970246753,5.026026411037328,68.75048878583372,52879951995498382578215355254368
7545,TPG Telecom Limited,AU,574,3861466358450601178,5.026026411037469,68.7504887858334,2654776995735309764
4826,Vocus Connect International Backbone,AU,1907,1287155452698354866,5.026026411037465,68.75048878583343,884925665163625775
1221,Telstra Limited,AU,965,12892143527,5.026027864512775,68.75047701289837,8863410172
17559,Spectrums Core Network,AU,11,158,50.0,35.44303797468354,56
262352,NOVA TELECOM LTDA,BR,17,731,0.6839945280437756,83.03693570451436,607
61917,NETMAIS TELECOM,BR,11,26,0.0,73.07692307692307,19
20473,"The Constant Company, LLC",US,1034,8497676678975140072070756,5.026026411037328,68.75048878583372,5842194252235211476065088
6461,Zayo Bandwidth,US,12404,4007420866,5.02602865371216,68.75046912030527,2755120645
7922,"Comcast Cable Communications, LLC",US,2729,127979608,5.026715662388964,68.74839857299766,87983931
13335,"Cloudflare, Inc.",US,935,2237838991155379050785848653523126,5.026026411037328,68.75048878583372,1538525244659293463851163488931535
3257,GTT Communications Inc.,US,44086,55340756557231406,5.026026411040025,68.75048878582476,38047040630869961
137491,Peerex Networks Ltd,BD,88,145,0.0,98.62068965517241,143
25899,LS Networks,US,83,100,24.0,20.0,20
20115,Charter Communications LLC,US,567,23662321,5.027456943044598,68.74996751164014,16267838
28260,ALTA REDE CORPORATE NETWORK TELECOM LTDA - EPP,BR,185,76915755468193581983629149647913,5.026026411037328,68.75048878583372,52879957837699719547666946973269
17639,Converge ICT Solutions Inc.,PH,92,100,0.0,81.0,81
60404,The Infrastructure Group B.V.,NL,7,7,0.0,57.14285714285714,4
15830,"Equinix, Inc.",US,1015,1231814678532046582,5.026026411037301,68.75048878583391,846878612426430705
63457,Liberty Connect,US,10,219,3.1963470319634704,66.66666666666666,146
62943,Bluebird Network,US,74,213,2.8169014084507045,66.66666666666666,142
37678,BOTSWANA FIBRE NETWORKS (Proprietary) Limited,BW,19,18,0.0,88.88888888888889,16
58629,Global Fair Communications Ltd.,BD,25,22,0.0,100.0,22
7106,"Com Net, Inc.",US,29,32,56.25,12.5,4
2686,"AT&T Enterprises, LLC",US,98,165,1.2121212121212122,55.757575757575765,92
23201,TIGO Paraguay,PY,27,39,0.0,82.05128205128204,32
28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANON...,PY,13,20,0.0,75.0,15
49102,Connected sp. z o. o.,PL,11,21,14.285714285714285,80.95238095238095,17
12741,Netia SA,PL,589,779765,5.049854763935288,68.56694003962733,534661
36908,Vodacom Tanzania Ltd,TZ,20,20,0.0,85.0,17
37133,Airtel Tanzania,TZ,39,53,5.660377358490567,75.47169811320755,40
27552,"TowardEX Technologies International, Inc.",US,66,463,0.6479481641468683,47.30021598272138,219
5537,"JSC ""RU-CENTER""",RU,6,19,0.0,89.47368421052632,17
48287,"JSC ""RU-CENTER""",RU,14,16,0.0,93.75,15
3786,LG DACOM Corporation,KR,426,2076829199579741026425814075,5.026026411037328,68.75048878583372,1427830225957990188474654389
9318,SK Broadband Co Ltd,KR,439,1572137379964313593388227945215,5.026026411037328,68.75048878583372,1080852133110265573598709586181
4766,Korea Telecom,KR,889,7943,2.2913256955810146,64.1193503713962,5093
11114,Wintek Corporation,US,10,10,0.0,70.0,7
33132,Crown Castle Fiber LLC,US,101,97,0.0,38.144329896907216,37
38040,TOT Public Company Limited,TH,62,4032662727,5.026031823662599,68.75045372471587,2772473922
132876,Symphony Communication (Thailand) PCL.,GB,146,10390086299741295347114177284,5.026026411037328,68.75048878583372,7143235116342085602326745534
136106,PT Mega Akses Persada,ID,493,127984567406593595,5.026026411036377,68.75048878583753,87990015662472800
54600,PEG TECH INC,US,7,6,0.0,50.0,3
133199,SonderCloud Limited,HK,4,6,0.0,83.33333333333334,5
52468,UFINET PANAMA S.A.,BR,2383,384821902028751467433234274773234,5.026026411037328,68.75048878583372,264566938599708825706783294437544
28146,MHNET TELECOM,BR,214,856,0.0,85.86448598130842,735
28283,Adyl Telecom,BR,416,8497676678975140072074303,5.026026411037328,68.75048878583372,5842194252235211476067786
58717,Summit Communications Ltd,BD,632,166762398507660758850,5.026026411037327,68.75048878583372,114649964084996661176
58495,PT Parsaoran Global Datatrans,ID,17,58,3.4482758620689653,81.03448275862068,47
39686,Eurofiber Nederland BV,NL,75,81,41.9753086419753,13.580246913580247,11
835,GoCodeIT Inc,US,197,752,0.13297872340425532,60.90425531914894,458
38525,PT Netsoft,ID,23,57,5.263157894736842,68.42105263157895,39
137366,PT iForte Solusi Infotek,ID,178,199,0.5025125628140703,96.4824120603015,192
137367,PT iForte Solusi Infotek,ID,67,313,0.3194888178913738,96.80511182108627,303
209,Lumen (ex. Qwest),US,510,1057,20.340586565752126,35.28855250709555,373
1299,Arelion (fka. Telia Carrier),US,60908,23661161,5.026663738098058,68.75199826415957,16267521
146943,Tier 4 Cloud Services,IN,25,8,0.0,100.0,8
61568,ALOO TELECOM - FSF TECNOLOGIA SA,BR,904,101972328298128150679775242,5.026026411037328,68.75048878583372,70106474131258145507956311
28126,BRISANET SERVICOS DE TELECOMUNICACOES S.A,BR,134,1154465731579315430385496243238889,5.026026411037328,68.75048878583372,793700833325730540400221289955655
19551,Incapsula Inc,US,163,1692666222665706536977525,5.026026411037328,68.75048878583372,1163716301595381900739160
4808,China Unicom Beijing Province Network,CN,64,71,0.0,91.54929577464789,65
4812,China Telecom Shanghai Province Network,CN,43,718,0.4178272980501393,80.64066852367688,579
17621,China Unicom Shanghai network,CN,34,674,0.44510385756676557,80.71216617210682,544
4847,China Telecom Beijing Province Network,CN,68,75,0.0,94.66666666666667,71
18734,"Operbes, S.A. de C.V.",MX,113,399,2.0050125313283207,71.42857142857143,285
13999,"Mega Cable, S.A. de C.V.",MX,35,86,6.976744186046512,54.65116279069767,47
8151,UNINET,MX,118,135,0.0,81.48148148148148,110
13237,euNetworks GmbH,DE,333,557,3.7701974865350087,51.16696588868941,285
10021,"KVH Co.,Ltd",JP,16,64,1.5625,54.6875,35
3491,"PCCW Global, Inc.",US,20161,8478585693543635804853791,5.026026411037328,68.75048878583372,5829069106437019984479369
23947,PT Mora Telematika Indonesia Tbk,ID,320,4155357559971267999890167161,5.026026411037328,68.75048878583372,2856828633279340555773333667
7018,"AT&T Enterprises, LLC",US,2684,159056660489002755305657517376034086,5.026026411037328,68.75048878583372,109352231532613462327884839699807900
