asn,name,cc,real_cone,observed_cone,secure_cnt,vuln_cnt,secure_pct,vuln_pct
3356,Lumen (Level 3),US,72945,68183,13296,53347,19.50046199199214,78.24091049088483
6939,Hurricane Electric LLC,US,73988,67200,12226,53424,18.19345238095238,79.5
1299,Arelion (fka. Telia Carrier),SE,69730,65519,11219,52754,17.123277217295747,80.5171019093698
6461,Zayo Bandwidth,US,70537,63686,10031,52145,15.750714442734667,81.8782778004585
174,"Cogent Communications, LLC",US,72342,63489,10945,51031,17.239206791727703,80.37770322418056
4637,Telstra International Limited,HK,63732,61012,9964,49544,16.331213531764245,81.20369763325247
6453,TATA Communications (America) Inc,US,63520,60693,9789,49409,16.1287133606841,81.40807012340797
2914,"NTT America, Inc.",US,67194,60624,9965,49144,16.437384534177884,81.06360517286883
3257,GTT Communications Inc.,US,68165,59816,10179,48146,17.017186037180686,80.4901698542196
1273,Vodafone Group PLC,EU,61937,59721,9433,48807,15.795113946517974,81.72502134927413
3320,Deutsche Telekom AG,DE,64752,58303,9419,47422,16.155257876953158,81.33715246213745
12956,Telxius (Telefonica Global),ES,61207,57847,8990,47401,15.540996075855274,81.9420194651408
4134,China Telecom Backbone,CN,60608,57761,8772,47538,15.186717681480582,82.30120669655996
6762,Telecom Italia Sparkle (Seabone),IT,65274,57169,8491,47221,14.85245500183666,82.59896097535378
5511,Orange S.A.,FR,61003,54453,8631,44405,15.850366370998842,81.54738949185536
3491,PCCW Global (HK) Ltd.,HK,64934,53870,8926,43521,16.569519212919992,80.78893632819751
4809,China Telecom Next Generation Carrier Network,CN,46369,53410,7406,44646,13.866317169069461,83.59108781127131
35280,F5 Networks SARL,FR,50814,51657,7305,43040,14.141355479412276,83.31881448787193
6830,Liberty Global Europe Holding B.V.,NL,61281,49991,8276,40319,16.55497989638135,80.65251745314157
9002,RETN Limited,GB,46431,46170,7331,37537,15.878275936755468,81.30171106779294
701,Verizon Business,US,67242,37789,5469,31262,14.47246553229776,82.72777792479293
7713,PT Telkom Indonesia Tbk,ID,6417,33444,4457,27980,13.326755172826216,83.66224135868914
4837,China Unicom Backbone,CN,43969,29343,3938,24501,13.420577309750195,83.49861977302935
33891,Core-Backbone GmbH,DE,34731,18391,2854,14974,15.518460116361263,81.42025990973846
3216,Vimpelcom PJSC,RU,34764,17824,2100,15140,11.781867145421904,84.94165170556553
34927,iFog GmbH,CH,31611,17318,2520,14117,14.551333872271623,81.51634137891212
7922,"Comcast Cable Communications, LLC",US,24123,16476,3553,12435,21.56470016994416,75.4734158776402
20485,TransTeleCom JSC,RU,28595,15801,1777,13473,11.2461236630593,85.26675526865388
20473,"The Constant Company, LLC",US,16596,7560,1560,5745,20.634920634920633,75.9920634920635
7018,"AT&T Enterprises, LLC",US,67741,7351,2307,4886,31.383485240103386,66.4671473268943
30844,Liquid Intelligent Technologies ,GB,491,7068,1214,5545,17.176004527447652,78.45217883418223
12389,Rostelecom PJSC,RU,11362,6415,568,5661,8.854247856586127,88.24629773967264
9498,Bharti Airtel Ltd.,IN,8233,6001,364,5539,6.0656557240459925,92.30128311948008
52468,UFINET PANAMA S.A.,PA,4987,5335,347,4911,6.504217432052483,92.05248359887536
31133,MegaFon PJSC,RU,10939,4725,267,4311,5.65079365079365,91.23809523809524
38255,China Education and Research Network (CERNET),CN,4182,4182,0,4181,0.0,99.97608799617407
208972,GIBIRNet Iletisim,TR,8214,3938,372,3442,9.446419502285424,87.40477399695277
8220,COLT,GB,5659,3487,801,2585,22.971035273874392,74.13249211356468
7575,Australian Academic and Research Network (AARNet),AU,9230,3301,444,2726,13.4504695546804,82.58103604968191
3303,Swisscom (Schweiz) AG,CH,6949,3246,679,2472,20.918052988293283,76.15526802218115
16735,Algar Telecom,BR,2561,3005,330,2640,10.98169717138103,87.85357737104825
30781,Free Pro SAS,FR,10845,2867,622,2083,21.695151726543425,72.65434251831182
8218,Zayo Europe,FR,6204,2616,563,1951,21.521406727828747,74.57951070336392
4755,TATA Communications (formerly VSNL),IN,2477,2536,111,2379,4.3769716088328074,93.80914826498423
13030,Init7 (Switzerland) Ltd.,CH,6703,2294,517,1639,22.53705318221447,71.44725370531823
15830,"Equinix, Inc.",NL,3965,2238,246,1942,10.991957104557642,86.77390527256479
58057,Securebit AG,CH,4793,2102,325,1645,15.461465271170313,78.25880114176974
60068,Datacamp Limited (CDN77 / DataPacket),GB,749,1991,478,1448,24.008036162732296,72.72727272727273
19151,"BroadbandONE, LLC",US,39,1961,265,1625,13.513513513513514,82.8658847526772
9304,HGC Global Communications Limited,HK,5243,1946,241,1603,12.384378211716342,82.37410071942446
137409,GSL Networks Pty LTD,AU,4192,1872,239,1541,12.767094017094017,82.31837606837607
23764,China Telecom Global,HK,2189,1733,87,1589,5.0201961915753035,91.69070975187536
852,TELUS Communications Inc.,CA,2149,1590,314,1213,19.748427672955977,76.28930817610063
5405,Inter.link GmbH,DE,2275,1497,318,1100,21.24248496993988,73.48029392117569
32787,Akamai (Prolexic),US,3061,1443,205,1213,14.206514206514207,84.06098406098405
4230,Claro (Embratel),BR,1271,1412,44,1354,3.1161473087818696,95.89235127478753
7195,EdgeUno,CO,1442,1406,140,1239,9.95732574679943,88.12233285917497
8359,MTS PJSC,RU,1983,1367,54,1287,3.9502560351133873,94.14776883686906
53062,ALT | GRUPO BRASIL TECPAR,BR,1466,1300,38,1253,2.923076923076923,96.38461538461539
22652,Videotron Ltee,CA,3339,1296,171,1060,13.194444444444445,81.79012345679013
