Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
1,6939,69330,8891,8886
2,3356,61708,6136,6127
3,174,60581,6315,6308
4,9002,48846,2965,2950
5,1299,46639,2515,2490
6,18106,38879,2004,1984
7,7713,37203,2405,2384
8,35280,32907,2428,2408
9,2914,26716,1464,1434
10,3257,26270,1713,1695
11,6461,24553,2075,2052
12,49544,14482,1006,964
13,13335,14125,1173,1142
14,3491,10629,690,639
15,6762,10281,616,549
16,199524,9140,661,605
17,6453,8869,592,518
18,9498,6341,948,919
19,12389,6160,1178,1166
20,133210,5511,462,405
21,14907,5161,437,364
22,52468,4478,828,812
23,8220,4233,1088,1075
24,4755,4188,782,771
25,38255,4183,4101,4101
26,20473,4143,961,937
27,3216,3915,855,836
28,58952,3726,380,312
29,58453,3190,365,295
30,45896,3010,338,267
31,4637,2724,411,361
32,7018,2574,1728,1719
33,31133,2408,583,567
34,15830,2406,704,672
35,32787,2381,705,682
36,3320,2100,527,504
37,16735,2086,507,494
38,20485,1972,685,666
39,701,1899,849,840
40,5511,1777,267,217
41,4230,1415,398,380
42,14840,1404,502,492
43,4635,1354,258,211
44,4766,1273,561,544
45,8359,1214,501,486
46,53062,1192,411,398
47,46887,1138,917,914
48,12956,1131,217,161
49,34927,1110,383,371
50,7195,1094,215,169
51,4826,1067,412,391
52,58717,1052,472,454
53,9049,968,399,389
54,12741,904,386,379
55,5405,894,204,172
56,37468,888,204,163
57,4657,826,239,174
58,21859,826,257,194
59,20764,823,236,213
60,33891,757,238,213
61,13786,750,184,146
62,35598,733,257,245
63,60068,649,233,193
64,137409,648,195,168
65,9318,633,393,375
66,7473,617,211,125
67,61832,616,245,229
68,3549,592,318,312
69,9583,585,227,204
70,9304,582,227,192
71,3223,581,188,150
72,136106,568,256,238
73,61568,559,191,178
74,4800,546,298,273
75,1221,537,255,234
76,30844,537,251,226
77,7717,521,183,171
78,209,512,349,347
79,9121,503,302,290
80,8708,498,360,353
81,37100,482,264,242
82,55655,469,295,280
83,22773,455,429,424
84,23947,454,258,237
