Rank,ASN,Direct_Customers,Cone_Size,Ratio
1,58552,88,85008,966.00
2,38040,19,85008,4474.11
3,52783,16,85008,5313.00
4,45903,95,85008,894.82
5,52253,3,85008,28336.00
6,263880,15,85008,5667.20
7,14593,10,85008,8500.80
8,12186,5,85008,17001.60
9,932,6,85008,14168.00
10,16010,16,85008,5313.00
11,47872,12,85008,7084.00
12,327899,1,85008,85008.00
13,266302,13,85008,6539.08
14,207701,2,85008,42504.00
15,37075,9,85008,9445.33
16,37577,3,85008,28336.00
17,52228,3,85008,28336.00
18,266583,27,85008,3148.44
19,23106,161,85008,528.00
20,38623,7,85008,12144.00
21,24482,57,85008,1491.37
22,47147,62,85008,1371.10
23,13194,46,85008,1848.00
24,15576,37,85008,2297.51
25,29470,1,85008,85008.00
26,51500,8,85008,10626.00
27,9886,28,85008,3036.00
28,51904,4,85008,21252.00
29,52845,2,85008,42504.00
30,58717,452,85008,188.07
31,10111,11,85008,7728.00
32,45265,2,85008,42504.00
33,10075,170,85008,500.05
34,12555,14,85008,6072.00
35,37183,7,85008,12144.00
36,52376,22,85008,3864.00
37,3223,174,85008,488.55
38,703,80,85008,1062.60
39,210513,2,85008,42504.00
40,47123,9,85008,9445.33
41,58629,20,85008,4250.40
42,24534,80,85008,1062.60
43,266409,34,85008,2500.24
44,7568,7,85008,12144.00
45,262191,46,85008,1848.00
46,8551,129,85008,658.98
47,59257,1,85008,85008.00
48,49063,52,85008,1634.77
49,136168,25,85008,3400.32
50,44327,6,85008,14168.00
51,34761,1,85008,85008.00
52,8412,53,85008,1603.92
53,200449,11,85008,7728.00
54,44901,40,85008,2125.20
55,32217,18,85008,4722.67
56,264984,21,85008,4048.00
57,29988,3,85008,28336.00
58,25818,8,85008,10626.00
59,24186,26,85008,3269.54
60,7162,5,85008,17001.60
61,55655,279,85008,304.69
62,263055,2,85008,42504.00
63,15296,13,85008,6539.08
64,8657,10,85008,8500.80
65,136106,237,85008,358.68
66,8966,136,85008,625.06
67,212088,1,85008,85008.00
68,45916,12,85008,7084.00
69,1221,252,85008,337.33
70,47890,5,85008,17001.60
71,32097,45,85008,1889.07
72,133840,23,85008,3696.00
73,22548,13,85008,6539.08
74,265442,23,85008,3696.00
75,62467,5,85008,17001.60
76,141907,1,85008,85008.00
77,395400,1,85008,85008.00
78,215307,1,85008,85008.00
79,262457,1,85008,85008.00
80,47589,5,85008,17001.60
81,50384,66,85008,1288.00
82,3257,1697,85008,50.09
83,34723,4,85008,21252.00
84,208324,2,85008,42504.00
85,577,231,85008,368.00
86,3770,2,85008,42504.00
87,34170,7,85008,12144.00
88,33779,2,85008,42504.00
89,16735,496,85008,171.39
90,4845,1,85008,85008.00
91,266337,7,85008,12144.00
92,19366,7,85008,12144.00
93,27775,5,85008,17001.60
94,3462,33,85008,2576.00
95,136237,1,85008,85008.00
96,5056,56,85008,1518.00
97,9116,1,85008,85008.00
98,61923,15,85008,5667.20
99,6471,24,85008,3542.00
100,264209,7,85008,12144.00
101,140475,3,85008,28336.00
102,41095,52,85008,1634.77
103,50263,79,85008,1076.05
104,24432,1,85008,85008.00
105,52554,63,85008,1349.33
106,131267,6,85008,14168.00
107,6568,20,85008,4250.40
108,12179,17,85008,5000.47
109,270888,1,85008,85008.00
110,21277,21,85008,4048.00
111,45147,68,85008,1250.12
112,6421,12,85008,7084.00
113,60068,190,85008,447.41
114,4040,1,85008,85008.00
115,55824,78,85008,1089.85
116,27947,33,85008,2576.00
117,4609,7,85008,12144.00
118,136873,1,85008,85008.00
119,134026,2,85008,42504.00
120,56740,7,85008,12144.00
121,4776,3,85008,28336.00
122,44592,19,85008,4474.11
123,7713,2377,85008,35.76
124,265407,7,85008,12144.00
125,58715,85,85008,1000.09
126,262907,68,85008,1250.12
127,52873,64,85008,1328.25
128,135300,3,85008,28336.00
129,212250,6,85008,14168.00
130,52320,64,85008,1328.25
131,30986,5,85008,17001.60
132,132296,7,85008,12144.00
133,266989,7,85008,12144.00
134,17754,17,85008,5000.47
135,36994,24,85008,3542.00
136,4648,44,85008,1932.00
137,262761,58,85008,1465.66
138,25133,2,85008,42504.00
139,37619,5,85008,17001.60
140,139057,7,85008,12144.00
141,142285,4,85008,21252.00
142,139931,12,85008,7084.00
143,15024,3,85008,28336.00
144,48728,12,85008,7084.00
145,14178,17,85008,5000.47
146,24429,5,85008,17001.60
147,38794,51,85008,1666.82
148,28283,221,85008,384.65
149,24535,2,85008,42504.00
150,12684,15,85008,5667.20
151,19332,43,85008,1976.93
152,29802,63,85008,1349.33
153,43859,1,85008,85008.00
154,714,2,85008,42504.00
155,57866,81,85008,1049.48
156,62255,59,85008,1440.81
157,61399,5,85008,17001.60
158,132602,33,85008,2576.00
159,41494,10,85008,8500.80
160,37721,13,85008,6539.08
161,327934,3,85008,28336.00
162,33771,6,85008,14168.00
163,16637,47,85008,1808.68
164,6204,77,85008,1104.00
165,140867,1,85008,85008.00
166,24066,2,85008,42504.00
167,142271,18,85008,4722.67
168,142502,2,85008,42504.00
169,263523,1,85008,85008.00
170,812,197,85008,431.51
171,14840,489,85008,173.84
172,31229,6,85008,14168.00
173,51369,1,85008,85008.00
174,53667,138,85008,616.00
175,55685,106,85008,801.96
176,1257,175,85008,485.76
177,45102,1,85008,85008.00
178,45352,31,85008,2742.19
179,10242,26,85008,3269.54
180,37100,248,85008,342.77
181,9658,34,85008,2500.24
182,29357,5,85008,17001.60
183,24173,25,85008,3400.32
184,37697,9,85008,9445.33
185,52747,7,85008,12144.00
186,10094,8,85008,10626.00
187,9049,391,85008,217.41
188,10089,5,85008,17001.60
189,18809,4,85008,21252.00
190,3243,9,85008,9445.33
191,852,191,85008,445.07
192,13536,154,85008,552.00
193,152194,3,85008,28336.00
194,327727,10,85008,8500.80
195,174,6294,85008,13.51
196,140437,1,85008,85008.00
197,13830,5,85008,17001.60
198,268959,6,85008,14168.00
199,8758,25,85008,3400.32
200,35584,2,85008,42504.00
201,12491,10,85008,8500.80
202,22869,5,85008,17001.60
203,9505,29,85008,2931.31
204,133448,3,85008,28336.00
205,268424,9,85008,9445.33
206,28663,12,85008,7084.00
207,20294,15,85008,5667.20
208,7195,203,85008,418.76
209,8047,22,85008,3864.00
210,40786,4,85008,21252.00
211,203522,1,85008,85008.00
212,52925,105,85008,809.60
213,37084,23,85008,3696.00
214,4800,275,85008,309.12
215,209141,2,85008,42504.00
216,20485,668,85008,127.26
217,210021,15,85008,5667.20
218,4775,130,85008,653.91
219,196925,30,85008,2833.60
220,45458,65,85008,1307.82
221,150684,24,85008,3542.00
222,61407,4,85008,21252.00
223,46997,3,85008,28336.00
224,42013,2,85008,42504.00
225,23947,239,85008,355.68
226,263629,31,85008,2742.19
227,6939,8865,85008,9.59
228,37358,15,85008,5667.20
229,136552,1,85008,85008.00
230,264997,63,85008,1349.33
231,328010,2,85008,42504.00
232,16713,37,85008,2297.51
233,10834,19,85008,4474.11
234,16814,39,85008,2179.69
235,268696,69,85008,1232.00
236,37693,10,85008,8500.80
237,63897,1,85008,85008.00
238,49612,15,85008,5667.20
239,206575,3,85008,28336.00
240,53181,142,85008,598.65
241,45758,14,85008,6072.00
242,11664,111,85008,765.84
243,7738,107,85008,794.47
244,27986,3,85008,28336.00
245,60503,20,85008,4250.40
246,32787,675,85008,125.94
247,9318,375,85008,226.69
248,142412,6,85008,14168.00
249,37468,186,85008,457.03
250,9155,18,85008,4722.67
251,270118,1,85008,85008.00
252,267549,3,85008,28336.00
253,58299,31,85008,2742.19
254,37273,16,85008,5313.00
255,64313,25,85008,3400.32
256,8529,48,85008,1771.00
257,38264,35,85008,2428.80
258,263444,69,85008,1232.00
259,7545,262,85008,324.46
260,49571,2,85008,42504.00
261,45558,37,85008,2297.51
262,38442,9,85008,9445.33
263,28126,80,85008,1062.60
264,265269,109,85008,779.89
265,9125,24,85008,3542.00
266,50509,110,85008,772.80
267,45356,1,85008,85008.00
268,58470,26,85008,3269.54
269,15924,122,85008,696.79
270,3549,316,85008,269.01
271,24961,62,85008,1371.10
272,22356,43,85008,1976.93
273,1273,136,85008,625.06
274,3326,213,85008,399.10
275,29467,25,85008,3400.32
276,28343,73,85008,1164.49
277,264847,1,85008,85008.00
278,61599,14,85008,6072.00
279,266962,2,85008,42504.00
280,58807,7,85008,12144.00
281,16260,3,85008,28336.00
282,35753,72,85008,1180.67
283,328333,17,85008,5000.47
