asn,name,class,cc
AS1,"Level 3 Parent, LLC",Unknown,US
AS10,CSNET Coordination and Information Center (CSNET-CIC),Unknown,US
AS100,FMC Central Engineering Laboratories,Unknown,US
AS1000,CORIX NETWORKS,Unknown,US
AS10000,Nagasaki Cable Media Inc.,Eyeball,JP
AS10001,Mics Network Corporation,Eyeball,JP
AS10002,"IGAUENO CABLE TELEVISION CO.,LTD",Eyeball,JP
AS10003,"Ogaki Cable Television Co.,Inc.",Eyeball,JP
AS10004,Phoenix Communications Inc.,Eyeball,JP
AS10006,"SECOM Trust Systems Co.,Ltd.",Unknown,JP
AS1001,Academy City Internet LLC,Unknown,US
AS10010,TOKAI Communications Corporation,Eyeball,JP
AS10011,advanscope inc.,Eyeball,JP
AS10012,"Rakuten Mobile, Inc.",Unknown,JP
AS10013,"FreeBit Co.,Ltd.",Eyeball,JP
AS10014,Nihon University,Unknown,JP
AS10015,"Cyber Wave Japan Co., Ltd.",Unknown,JP
AS10016,Minaminihon Information Processing Center Co Ltd,Unknown,JP
AS10019,Matsusaka Cable-TV Station Inc.,Eyeball,JP
AS1002,Bytefilter LLC,Content,US
AS10021,"KVH Co.,Ltd",Unknown,JP
AS10022,Datacom Systems Ltd,Unknown,NZ
AS10023,Terry Crews,Unknown,AU
AS10024,LGA International,Unknown,SG
AS10025,The IUSN Foundation,Unknown,NU
AS10026,Telstra Global Internet Services Network Blocks,Unknown,JP
AS10027,Verizon Australia PTY Limited,Unknown,AU
AS10028,Information System Department,Unknown,TH
AS10029,SHYAM SPECTRA PVT LTD,Eyeball,IN
AS1003,andrewnet,Eyeball,US
AS10030,Celcom Axiata Berhad,Eyeball,MY
AS10031,WebSatMedia Pte. Ltd.,Eyeball,SG
AS10032,BDX DC Services (HK) Limited,Unknown,HK
AS10033,iBasis Tokyo ICO,Unknown,JP
AS10034,SEOUL AGRICULTURAL   MARINE PRODUCTS CORP.,Unknown,KR
AS10035,"Hyundai Department Store Co., Ltd.",Unknown,KR
AS10036,DLIVE,Eyeball,KR
AS10037,"EUGENE INVESTMENT FUTURES Co.,Ltd.",Eyeball,KR
AS10038,NHNCLOUD,Unknown,KR
AS10039,Korea Health Industry Development Institute,Unknown,KR
AS1004,Ambyre LLC,Unknown,US
AS10040,"NICE Information   Telecommunication, Inc",Unknown,KR
AS10041,ShinhanCapital,Unknown,KR
AS10042,SUSEONG COLLEGE,Unknown,KR
AS10043,Ministry of Science and ICT,Unknown,KR
AS10044,Rural Development Administration (RDA),Unknown,KR
AS10045,Hanbat National University,Unknown,KR
AS10046,HOWON UNIVERSITY,Unknown,KR
AS10048,ILINKKOREA,Unknown,KR
AS10049,"SK Co.,",Unknown,KR
AS1005,"North State Telephone, LLC",Unknown,US
AS10050,The National Library of Korea,Unknown,KR
AS10051,Korea Post Information Center,Unknown,KR
AS10052,Kyungpook National University,Unknown,KR
AS10053,yeonsung University,Unknown,KR
AS10054,CMB Kwangju Broadcasting,Eyeball,KR
AS10055,Korean National Railroad Administration,Unknown,KR
AS10056,Hyundai Marin   Fire Insurance,Unknown,KR
AS10058,NACUFOK,Unknown,KR
AS10059,LG DACOM KIDC,Unknown,KR
AS1006,"Rackdog, LLC",Unknown,US
AS10060,YONSEI UNIVERSITY HEALTH SYSTEM,Unknown,KR
AS10061,Financial Supervisory Service,Unknown,KR
AS10062,Branksome Hall Asia,Unknown,KR
AS10063,Korea Meteorological Administration,Unknown,KR
AS10064,expernet,Unknown,KR
