Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
1,6939,72000,10784,10779
2,3356,69263,6580,6568
3,174,67424,6693,6684
4,24482,66863,9979,9975
5,37721,60375,4679,4658
6,35280,52430,2907,2873
7,1299,49137,2572,2531
8,6461,47285,2718,2686
9,9002,46498,2410,2365
10,17639,41605,2039,1991
11,3216,38889,1976,1933
12,41327,37145,2050,2002
13,34549,35268,1554,1505
14,33891,34065,1389,1328
15,213241,32598,1474,1425
16,2914,31599,1533,1489
17,3257,31295,1834,1798
18,34927,29838,1562,1506
19,20485,28430,1491,1442
20,34019,26937,1390,1343
21,50673,25468,1179,1120
22,29632,24178,1096,1034
23,50300,23701,1107,1049
24,48185,22511,1131,1071
25,13335,20594,1258,1182
26,25091,20192,1100,1031
27,56662,18461,981,933
28,3333,17702,888,817
29,212024,15039,810,748
30,12389,14340,1295,1262
31,50304,14248,872,812
32,1836,13927,740,654
33,30781,12679,741,655
34,4826,11683,850,801
35,56655,11604,713,649
36,6762,11192,675,588
37,48858,11024,672,593
38,20473,10498,1110,1043
39,49673,10031,841,810
40,7018,9476,2329,2315
41,6453,8996,625,532
42,3491,8866,683,608
43,3303,8221,705,620
44,208972,8050,691,650
45,9498,7851,997,931
46,7575,7721,670,618
47,38001,7601,659,587
48,1103,6359,465,361
49,7713,6161,820,755
50,8966,5811,484,371
51,9304,5802,589,485
52,8220,5790,1117,1081
53,701,5349,1099,1079
54,4637,5224,538,441
55,6696,5042,567,498
56,52468,4616,857,839
57,58057,4442,584,515
58,3320,4406,675,622
59,38255,4183,4101,4101
60,57304,3897,428,344
61,22652,3526,496,444
62,8218,3409,537,491
63,24115,3314,403,332
64,15830,3265,787,715
65,204092,3088,468,413
66,394256,2915,496,458
67,12859,2886,359,262
68,31133,2753,648,600
69,16735,2660,552,536
70,9930,2537,361,234
71,14907,2489,350,261
72,50628,2463,452,386
73,32787,2451,754,686
74,4755,2349,678,658
75,23764,2346,370,259
76,2119,2314,354,224
77,5511,2208,359,269
78,13030,2190,372,289
79,52025,2161,354,277
80,852,2146,413,361
81,64073,2003,457,424
82,20562,1994,463,404
83,42708,1794,310,205
84,14840,1588,538,502
85,12956,1498,278,183
86,46887,1400,1032,1029
87,53062,1382,425,400
88,29504,1249,291,236
89,4230,1230,421,382
90,202365,1194,290,250
91,1257,1194,354,296
92,4766,1122,591,550
93,8359,1118,515,471
94,20764,1069,292,243
95,9049,1049,395,371
96,7195,1044,250,172
97,137409,1036,298,205
98,37468,974,247,165
99,201054,953,339,301
100,21859,949,318,206
101,58717,937,492,457
102,12741,873,470,430
103,35598,835,286,253
104,59919,834,358,312
105,13786,821,201,155
106,60068,766,276,200
107,3223,731,227,156
108,34800,728,251,205
109,5405,727,243,170
110,209,698,384,383
111,34854,693,297,258
112,3549,688,378,370
113,9583,682,250,210
114,61832,654,265,244
115,55720,649,258,196
116,61568,615,203,186
117,12779,613,242,135
118,1403,604,248,194
119,577,574,312,268
120,62255,569,213,189
121,30844,565,299,235
122,1221,560,280,244
123,212508,556,229,184
124,4635,551,197,138
125,37100,549,318,252
126,4800,546,313,270
127,6327,533,270,217
128,10429,532,223,208
129,136106,530,276,239
130,8708,521,404,371
131,9121,512,334,305
132,23520,512,174,158
133,22773,509,478,472
134,28917,508,202,152
135,61292,506,183,93
136,23947,482,285,242
137,31500,481,210,161
138,1273,480,217,122
139,9318,479,405,375
140,55655,479,303,288
141,20804,469,306,266
142,54004,465,334,331
143,4608,458,199,127
144,55836,449,198,184
145,37662,449,215,162
146,3786,448,422,377
147,7717,436,175,157
148,267613,429,185,162
149,138840,428,271,257
150,50607,428,300,294
151,7545,426,299,284
152,2497,419,221,186
153,11537,413,110,84
154,3326,401,257,221
155,50263,397,161,115
156,58453,394,183,92
157,4134,388,200,157
158,17676,381,203,176
159,29535,380,295,269
160,7049,380,260,221
161,264409,380,139,84
162,28283,377,262,220
163,206499,371,191,144
164,19551,367,257,163
165,55410,359,199,184
166,50509,356,150,134
167,10075,356,189,165
168,7029,348,276,261
169,5617,348,279,277
170,271253,341,219,195
171,29076,341,184,152
172,34984,330,259,248
173,28368,320,133,123
174,7474,318,196,178
175,52965,316,167,156
176,35297,316,190,146
177,7473,315,210,110
178,1031,313,117,67
179,38158,308,219,177
180,45820,306,186,180
181,29119,304,236,193
182,6830,296,178,77
183,62081,293,262,254
184,23106,292,194,162
185,6730,289,209,202
186,7303,285,197,185
187,8280,283,139,80
188,35625,283,193,137
189,58682,283,171,155
190,13237,282,227,184
191,139009,279,191,172
192,18403,278,270,223
193,24785,278,210,189
194,22381,276,171,150
195,54994,275,161,41
196,33491,273,247,245
197,2516,269,189,150
198,9299,267,221,166
199,10796,266,194,191
200,3255,265,190,171
201,12912,265,232,209
202,29226,264,223,195
203,20940,263,201,58
204,20115,263,161,140
205,139341,261,152,32
206,18229,255,174,161
207,15412,252,171,60
208,9009,249,213,133
209,12552,248,208,167
210,53181,247,152,142
211,11432,244,209,197
212,5650,242,232,225
213,1828,240,129,76
214,42337,240,151,149
215,4787,238,176,166
216,35320,238,153,122
217,22927,237,164,157
218,812,235,230,208
219,9730,231,180,178
220,1764,230,168,127
221,212895,226,188,158
222,31027,225,201,173
223,12874,223,234,204
224,263009,223,122,111
225,131111,221,149,143
226,971,220,129,62
227,16276,218,214,141
228,61973,217,113,85
229,12302,215,174,171
230,8717,214,212,182
231,53667,213,164,153
232,45899,211,177,123
233,8641,207,154,127
234,13536,206,178,161
235,9050,206,193,153
236,198949,206,178,154
237,7922,205,131,66
238,8881,200,214,170
239,263903,198,111,103
240,64289,194,124,53
241,34872,193,187,158
242,17557,193,139,89
243,53087,193,116,99
244,36236,189,183,102
245,58389,189,135,111
246,262663,188,101,63
247,7738,187,108,94
248,60171,187,151,106
249,28598,186,121,103
250,11404,186,147,130
251,6204,185,160,72
252,8447,185,170,129
253,32098,185,155,128
254,53013,183,96,82
255,702,183,193,165
256,11164,182,83,49
257,199995,180,157,113
258,20205,179,110,80
259,57344,179,183,120
260,263444,177,103,62
261,13649,177,183,177
262,4788,176,153,83
263,18678,176,138,96
264,8866,175,154,115
265,3269,174,169,164
266,39392,174,109,87
267,1820,173,157,113
268,26615,172,91,64
269,1680,172,194,142
270,4761,171,175,137
271,11664,171,135,128
272,269194,171,123,109
273,33651,171,158,155
274,269096,170,142,132
275,12578,170,132,93
276,135607,170,131,115
277,265269,169,132,122
278,57821,168,133,109
279,8455,168,137,107
280,15164,167,171,161
281,24429,167,129,33
282,52361,165,166,164
283,5603,164,154,124
284,7015,164,153,151
285,4657,163,168,113
286,59796,163,107,70
287,52925,162,129,113
288,20055,162,130,118
289,2856,161,169,151
290,28146,161,110,97
291,40264,161,138,135
292,15694,160,154,124
293,6663,159,166,106
294,8732,158,139,107
295,45296,158,120,107
296,37271,157,160,109
297,38193,157,126,75
298,38195,156,110,81
299,201706,156,132,101
300,21949,155,146,121
301,150178,154,132,116
302,8551,154,160,117
303,37282,154,140,110
304,20001,153,146,141
305,41051,150,144,128
306,43754,149,86,84
307,16509,148,185,102
308,15924,147,136,123
309,262589,147,112,89
310,52573,147,121,111
311,13760,147,135,128
312,139589,146,121,97
313,3215,146,128,120
314,43298,145,103,79
315,45903,145,146,89
316,21574,145,123,95
317,23005,145,145,139
318,11427,144,130,127
319,29075,143,136,97
320,58715,143,126,80
321,16019,141,104,92
322,33667,141,144,138
323,55002,140,104,98
324,28329,140,102,89
325,58495,140,116,99
326,33287,139,136,133
327,8167,138,87,70
328,327727,138,107,74
329,55685,138,133,103
330,58224,136,98,97
331,199524,136,165,67
332,64315,134,89,78
333,42020,132,106,104
334,21497,132,117,77
335,4775,131,185,115
336,3209,131,116,96
337,17378,130,150,127
338,28260,128,90,79
339,12129,127,102,90
340,33657,126,129,125
341,52320,125,104,39
342,45147,125,80,68
343,4455,124,140,80
344,34224,124,150,105
345,44324,123,112,77
346,24961,123,104,61
347,7552,122,160,102
348,49915,121,140,105
349,12400,120,138,95
350,4764,120,131,115
351,7016,119,121,116
352,16637,119,86,46
353,3573,118,95,16
354,2152,117,94,87
355,2907,117,108,96
356,17762,116,80,68
357,8400,115,119,83
358,17995,115,120,115
359,45117,115,92,82
360,41798,114,72,62
361,3302,114,98,75
362,209533,113,116,107
363,44901,113,97,46
364,9790,112,86,74
365,8772,112,108,89
366,31287,111,123,93
367,11172,111,105,92
368,28343,110,87,78
369,8953,109,114,105
370,6079,109,108,87
371,52863,108,79,61
372,43426,108,88,43
373,28126,108,93,80
374,6855,107,110,99
375,4837,107,115,72
376,8529,107,112,25
377,2854,106,134,101
378,24534,106,92,84
379,8262,105,117,72
380,50629,105,102,48
381,2711,104,90,83
382,262907,104,84,72
383,134654,103,86,70
384,28716,102,102,69
385,29802,102,110,66
386,10099,102,111,51
387,3301,102,105,101
388,7470,101,102,93
389,39737,101,123,87
390,9198,101,97,69
391,35753,101,114,63
392,139901,101,105,66
393,33132,100,100,98
394,268696,100,83,72
395,8151,100,114,100
396,4713,99,99,90
397,5606,99,122,84
398,62,99,105,95
399,37613,99,77,46
400,15895,98,102,72
401,394684,98,74,61
402,34779,97,119,97
403,17439,96,63,53
404,201776,96,89,73
405,2686,95,124,79
406,703,95,105,77
407,12357,95,98,95
408,52554,95,73,63
409,199599,95,89,80
410,18734,94,101,87
411,11014,94,88,80
412,270735,93,84,53
413,53356,93,92,68
414,35708,93,84,70
415,63293,93,80,49
416,52873,92,74,65
417,12025,92,95,88
418,29838,92,123,59
419,3292,91,120,89
420,13767,91,96,81
421,1267,91,110,76
422,3758,91,95,84
423,11351,91,89,88
424,2116,90,80,71
425,57463,90,120,41
426,11426,89,86,84
427,59692,89,88,54
428,55824,88,85,85
429,15557,88,108,84
430,3741,88,98,61
431,47232,87,85,54
432,27064,87,74,72
433,40676,86,85,65
434,28186,86,78,69
435,2519,86,87,70
436,133296,86,78,53
437,12963,86,102,82
438,35168,85,73,44
439,38855,85,86,58
440,31242,85,86,81
441,56534,85,91,74
442,42473,84,113,36
443,262355,84,76,51
444,2764,84,68,58
445,202,84,81,75
446,35819,83,74,64
447,7795,83,90,79
448,12479,82,89,77
449,10103,82,87,78
450,138128,82,83,67
451,17665,81,59,51
452,139317,81,76,69
453,38731,80,74,72
454,57724,80,81,53
455,9829,80,85,71
456,26554,80,83,76
457,33763,80,90,58
458,35805,79,107,74
459,33363,79,76,69
460,50384,79,79,38
461,57866,78,94,72
462,3352,78,80,78
463,9141,78,70,63
464,7385,78,76,74
465,19108,77,77,69
466,262462,77,77,69
467,265038,77,70,58
468,31216,76,79,63
469,52055,76,94,44
470,33659,76,77,73
471,47147,75,96,58
472,47605,75,89,62
473,136557,75,79,51
474,17494,75,86,43
475,45305,75,66,58
