ASN,Left_Count,Right_Count,Total_Neighbors,Total_Paths
6939,181,10775,10956,12482599
24482,70,9809,9879,1400249
174,113,6701,6814,8539364
3356,90,6564,6654,6589583
37721,17,4672,4689,1392800
38255,3,4099,4102,171730
35280,54,2874,2928,263472
6461,72,2697,2769,1688339
1299,106,2572,2678,9629377
9002,63,2419,2482,2301687
7018,15,2329,2344,1620690
17639,51,2042,2093,1316110
41327,39,2035,2074,233548
3216,47,1967,2014,425140
3257,72,1835,1907,2917223
2914,81,1531,1612,4498854
48362,26,1583,1609,1017325
34927,66,1534,1600,2584332
34549,40,1550,1590,3211733
20485,46,1491,1537,275285
213241,21,1473,1494,1134442
33891,47,1441,1488,268423
34019,27,1386,1413,229975
12389,34,1290,1324,770726
13335,336,926,1262,499483
50673,33,1174,1207,2029687
48185,24,1127,1151,1253913
50300,25,1111,1136,1240684
25091,55,1080,1135,90041
8220,50,1074,1124,155294
701,18,1098,1116,440760
29632,35,1081,1116,293779
20473,89,1012,1101,216298
46887,3,1029,1032,145157
9498,76,927,1003,1500551
56662,13,981,994,229166
3333,20,885,905,1254507
50304,25,871,896,1971392
4826,26,840,866,478025
52468,37,825,862,295843
7713,72,765,837,252500
15830,86,708,794,184224
30781,30,732,762,784045
32787,81,675,756,285004
1836,25,731,756,619786
49673,5,736,741,789388
3491,61,678,739,1624630
3303,56,671,727,114545
6762,45,676,721,2379623
56655,23,692,715,749964
3320,38,672,710,311429
208972,21,676,697,543882
48858,28,658,686,186878
4755,13,672,685,766792
7575,20,659,679,366797
6453,48,616,664,2264183
31133,55,604,659,213106
58057,43,610,653,4597404
9304,57,582,639,228701
38001,17,586,603,1258709
4766,37,550,587,399970
6696,20,561,581,1108508
4637,58,520,578,574157
16735,23,533,556,109339
8218,39,514,553,26525
8359,47,496,543,96737
14840,45,497,542,158373
394256,13,499,512,184161
8966,57,452,509,75888
22652,14,495,509,1255159
58717,36,452,488,154394
22773,4,476,480,293466
1103,33,446,479,83894
204092,9,466,475,1295815
20562,41,430,471,25520
50628,14,454,468,1286303
12741,46,422,468,46184
64073,7,458,465,61840
57304,9,424,433,51441
852,18,410,428,1293758
53062,30,398,428,127143
3786,42,380,422,286189
9318,40,381,421,215755
4230,33,387,420,263188
9049,17,392,409,222114
8708,37,369,406,40200
5405,58,343,401,104024
13030,34,363,397,66780
24115,8,387,395,65158
5511,38,354,392,946247
3549,6,382,388,1082188
209,1,386,387,161772
9930,44,338,382,73210
2119,33,343,376,105607
1257,28,348,376,419097
1764,39,327,366,67973
12859,30,336,366,25082
52025,67,293,360,835813
59919,6,354,360,1019159
9121,25,326,351,237096
201054,15,334,349,7997
54004,3,336,339,43856
577,23,311,334,260599
42708,21,308,329,259842
37100,60,264,324,93556
21859,126,195,321,205368
4800,37,277,314,105824
34854,8,300,308,1244862
20804,42,265,307,25143
20764,44,257,301,135083
50607,7,294,301,19746
55655,15,285,300,71063
7545,11,288,299,376485
202365,12,287,299,1444848
35598,38,260,298,100244
29504,9,288,297,1254063
30844,64,233,297,90053
29535,25,269,294,38484
137409,80,211,291,268384
12956,28,262,290,747336
