asn,cc,name,cone,unsigned_customers,bad_pct
3356,US,Lumen (Level 3),66965,33566,48.11777860603802
6939,US,Hurricane Electric LLC,67536,33416,49.598503851691326
1299,SE,Arelion (fka. Telia Carrier),46293,31517,46.31243295666613
174,US,"Cogent Communications, LLC",64379,31410,46.83166840614283
3257,US,GTT Communications Inc.,29711,28109,45.53023308550788
2914,US,"NTT America, Inc.",28413,26850,45.22105263157894
6453,US,TATA Communications (America) Inc,8397,26138,46.02003626952128
6461,US,Zayo Bandwidth,42412,26044,46.65293327362293
701,US,Verizon Business,4108,24966,46.810664866689166
6762,IT,Telecom Italia Sparkle (Seabone),10752,24363,43.61829737713723
5511,FR,Orange S.A.,2025,23811,43.761371781441255
3491,US,"PCCW Global, Inc.",8388,23335,44.56050566196269
9002,GB,RETN Limited,44152,23063,43.94794008918023
4637,HK,Telstra Global,4847,22940,44.78282088823817
15412,GB,Flag Telecom UK Limited,292,22466,44.37290144183291
4826,AU,Vocus Connect International Backbone,11299,22406,44.34460783343559
1221,AU,Telstra Limited,564,22406,44.34460783343559
12956,ES,Telxius (Telefonica Global),1484,22245,46.282040612516646
3320,DE,Deutsche Telekom AG,4277,21877,43.87333547248516
58453,HK,China Mobile International,429,21395,44.26215942238865
7473,SG,Singapore Telecommunications Ltd,336,21365,44.40495489878206
9498,IN,Bharti Airtel Ltd.,8024,20369,44.13842420039872
7018,US,"AT&T Enterprises, LLC",5273,20240,49.1667881261235
4755,IN,TATA Communications (formerly VSNL),2266,19947,44.394738599185416
1273,EU,Vodafone Group PLC,450,19833,44.389981870677495
9583,IN,Sify Limited,623,19272,44.650386914415456
55836,IN,Reliance Jio Infocomm Limited,392,19272,44.650386914415456
55410,IN,Vodafone Idea Ltd,322,19272,44.650386914415456
24482,SG,SG.GS,64799,19127,46.49811595964507
33891,XX,Core-Backbone GmbH,34949,19015,46.22359433113742
7195,CO,EdgeUno,1125,18696,46.57001942908384
7474,AU,SingTel Optus Pty Ltd,320,18575,46.662647273092674
4766,KR,Korea Telecom,1090,18520,47.59090325067455
9318,KR,SK Broadband Co Ltd,569,18416,47.51657765048895
57463,BG,NetIX Communications JSC,98,18403,47.084559293846745
52320,CO,V.tal (GlobeNet),135,18394,47.04347826086956
