asn,cc,name,cone,unsigned_customers,impact_score
6939,US,Hurricane Electric LLC,67716,32737,2216818692
3356,US,Lumen (Level 3),66883,32854,2197374082
174,US,"Cogent Communications, LLC",64425,30675,1976236875
1299,SE,Arelion (fka. Telia Carrier),47707,30803,1469518721
24482,SG,SG.GS,65008,18604,1209408832
6461,US,Zayo Bandwidth,43299,25422,1100747178
9002,GB,RETN Limited,44712,22442,1003426704
3257,US,GTT Communications Inc.,32027,27417,878084259
2914,US,"NTT America, Inc.",29142,26166,762529572
3216,RU,Vimpelcom PJSC,38493,17586,676937898
33891,DE,Core-Backbone GmbH,33875,18503,626789125
20485,RU,TransTeleCom JSC,27887,17587,490448669
4826,AU,Vocus Connect International Backbone,11802,21804,257330808
6762,IT,Telecom Italia Sparkle (Seabone),10728,23720,254468160
12389,RU,Rostelecom PJSC,13218,17587,232464966
6453,US,TATA Communications (America) Inc,8549,25495,217956755
3491,US,"PCCW Global, Inc.",8457,22700,191973900
35280,FR,F5 Networks SARL,50699,3716,188397484
9498,IN,Bharti Airtel Ltd.,7660,19817,151798220
13335,US,"Cloudflare, Inc.",18869,7700,145291300
8966,AE,Etisalat (ETC),6022,17587,105908914
4637,HK,Telstra International Limited,4655,22332,103955460
7018,US,"AT&T Enterprises, LLC",5242,19739,103471838
701,US,Verizon Business,4131,24362,100639422
7713,ID,PT Telkom Indonesia Tbk,5628,17587,98979636
9304,HK,HGC Global Communications Limited,5313,17587,93439731
3320,DE,Deutsche Telekom AG,4277,21275,90993175
52468,PA,UFINET PANAMA S.A.,4642,17587,81638854
34927,CH,iFog GmbH,28676,2235,64090860
50673,NL,Serverius Holding B.V.,24558,2462,60461796
5511,FR,Orange S.A.,2066,23178,47885748
31133,RU,MegaFon PJSC,2710,17587,47660770
16735,BR,Algar Telecom,2681,17586,47148066
4755,IN,TATA Communications (formerly VSNL),2359,19410,45788190
34549,DE,meerfarbig GmbH & Co. KG,34174,1321,45143854
32787,US,Akamai (Prolexic),2322,17587,40837014
23764,HK,China Telecom Global,2197,17587,38638639
20473,US,"The Constant Company, LLC",10041,3082,30946362
8220,GB,COLT,5537,5426,30043762
