asn,name,cc,cone,verdict,apnic_score,dirty,total
1299,Arelion (fka. Telia Carrier),US,61899,CORE: UNPROTECTED,8.11,0,0
3356,Lumen (Level 3),US,61868,CORE: PROTECTED,100.0,0,0
174,"Cogent Communications, LLC",US,56709,CORE: PROTECTED,98.08,0,0
6453,TATA Communications (America) Inc,US,45423,CORE: UNPROTECTED,0.45,0,0
3257,GTT Communications Inc.,US,44086,CORE: PROTECTED,100.0,0,0
2914,"NTT America, Inc.",US,39842,CORE: UNPROTECTED,0.0,0,0
6762,Telecom Italia Sparkle (Seabone),IT,37326,CORE: UNPROTECTED,-1.0,0,0
6939,Hurricane Electric LLC,US,34660,CORE: PROTECTED,100.0,0,0
12956,Telxius (Telefonica Global),US,32656,CORE: UNPROTECTED,-1.0,0,0
3491,"PCCW Global, Inc.",US,20161,CORE: PROTECTED,100.0,0,0
9002,RETN Limited,RU,12943,PARTIAL (Mixed Feeds),76.36,21,28
6461,Zayo Bandwidth,US,12478,CORE: UNPROTECTED,2.15,0,0
3320,Deutsche Telekom AG,DE,12418,CORE: PROTECTED,99.78,0,0
141013,GetaFIX Content Network,PH,10570,VULNERABLE (No Coverage),-1.0,1,1
4637,Telstra Global,US,7586,CORE: UNPROTECTED,4.04,0,0
1273,Vodafone Group PLC,GB,6183,CORE: PROTECTED,95.5,0,0
701,Verizon Business,US,4741,CORE: PROTECTED,99.79,0,0
37468,Angola Cables,BR,4482,PARTIAL (Mixed Feeds),0.76,19,22
7195,EdgeUno,BR,4067,SECURE (Active Local ROV),100.0,7,10
6830,Liberty Global Europe Holding B.V.,NL,3315,CORE: PROTECTED,99.54,0,0
20764,CJSC RASCOM,RU,2751,PARTIAL (Mixed Feeds),-1.0,13,16
7922,"Comcast Cable Communications, LLC",US,2729,CORE: PROTECTED,99.91,0,0
7018,"AT&T Enterprises, LLC",US,2684,CORE: UNPROTECTED,56.48,0,0
4826,Vocus Connect International Backbone,AU,1907,SECURE (Active Local ROV),99.36,13,18
5405,Inter.link GmbH,DE,1899,PARTIAL (Mixed Feeds),-1.0,6,10
16735,Algar Telecom,BR,1886,PARTIAL (Mixed Feeds),80.84,16,18
4230,Claro (Embratel),BR,1696,PARTIAL (Mixed Feeds),1.26,8,12
8220,COLT,US,1544,SECURE (Active Local ROV),100.0,10,15
5617,Orange Polska Spolka Akcyjna,PL,1186,SECURE (Active Local ROV),99.74,1,2
7474,SingTel Optus Pty Ltd,AU,1052,SECURE (Full Coverage),0.48,0,4
20473,"The Constant Company, LLC",US,1034,SECURE (Active Local ROV),98.43,22,32
1221,Telstra Limited,AU,960,SECURE (Active Local ROV),99.8,1,3
13335,"Cloudflare, Inc.",US,934,PARTIAL (Mixed Feeds),6.56,237,255
262589,Megatelecom (Internexa BR),BR,874,PARTIAL (Mixed Feeds),0.15,9,11
24482,SG.GS,BR,854,PARTIAL (Mixed Feeds),-1.0,11,12
26615,TIM S/A,BR,834,PARTIAL (Mixed Feeds),2.64,9,10
4229,Zenlayer Inc,US,683,SECURE (Active Local ROV),100.0,12,15
37100,SEACOM Limited,DE,653,SECURE (Active Local ROV),95.05,14,17
2497,Internet Initiative Japan Inc.,JP,640,SECURE (Active Local ROV),99.2,3,7
37662,West Indian Ocean Cable Company (WIOCC),GB,625,PARTIAL (Mixed Feeds),0.53,19,23
12741,Netia SA,PL,589,SECURE (Active Local ROV),95.42,9,12
20115,Charter Communications LLC,US,567,PARTIAL (Mixed Feeds),30.95,2,7
209,Lumen (ex. Qwest),US,510,CORE: PROTECTED,99.83,0,0
3549,Lumen (fka. Global Crossing),US,507,PARTIAL (Mixed Feeds),66.39,2,4
22773,Cox Communications Inc.,US,507,SECURE (Active Local ROV),99.89,1,3
34984,Superonline Iletisim Hizmetleri A.S.,TR,505,PARTIAL (Mixed Feeds),16.83,5,8
3303,Swisscom (Schweiz) AG,CH,503,SECURE (Active Local ROV),99.75,5,11
7029,Windstream Communications LLC,US,502,SECURE (Active Local ROV),99.67,6,7
4788,TM Technology Services Sdn. Bhd.,MY,481,PARTIAL (Mixed Feeds),90.06,8,12
3223,Voxility LLP,US,470,PARTIAL (Mixed Feeds),1.45,5,11
8708,DIGI ROMANIA S.A.,RO,467,SECURE (Active Local ROV),99.73,6,8
577,Bell Canada,CA,467,SECURE (Active Local ROV),99.76,7,12
3326,Datagroup PJSC,UA,457,SECURE (Active Local ROV),98.89,5,7
4134,China Telecom Backbone,CN,447,CORE: UNPROTECTED,0.17,0,0
38195,Superloop,AU,409,SECURE (Active Local ROV),99.71,4,10
2516,KDDI Corporation,JP,405,PARTIAL (Mixed Feeds),0.15,3,8
17676,SoftBank Corp.,JP,401,SECURE (Active Local ROV),99.67,4,8
9141,P4 Sp. z o.o.,PL,390,SECURE (Active Local ROV),99.78,1,2
1828,Unitas Global,US,382,PARTIAL (Mixed Feeds),0.0,6,9
1764,Next Layer Telecommunications,AT,381,SECURE (Active Local ROV),100.0,3,7
3209,Vodafone GmbH,DE,369,PARTIAL (Mixed Feeds),1.72,1,3
50629,LWLcom GmbH,DE,360,SECURE (Active Local ROV),100.0,1,5
35320,Eurotranstelecom Ltd,UA,346,PARTIAL (Mixed Feeds),94.12,3,5
2764,AAPT Limited,AU,336,PARTIAL (Mixed Feeds),21.19,2,4
23947,PT Mora Telematika Indonesia Tbk,ID,320,PARTIAL (Mixed Feeds),-1.0,7,11
18403,FPT Telecom Company,VN,311,SECURE (Active Local ROV),98.92,12,18
263009,FORTE TELECOM LTDA.,BR,307,PARTIAL (Mixed Feeds),0.3,4,6
10796,Charter Communications Inc,US,305,SECURE (Active Local ROV),99.95,2,4
8452,Telecom Egypt,EG,284,PARTIAL (Mixed Feeds),83.61,3,7
3741,Dimension Data,ZA,283,PARTIAL (Mixed Feeds),2.6,4,7
199524,Gcore S.A.,US,278,SECURE (Active Local ROV),99.59,34,46
38193,Transworld Associates (Pvt.) Ltd.,DE,274,PARTIAL (Mixed Feeds),1.55,8,12
12880,Iran Information Technology Company PJSC,IR,267,VULNERABLE (No Coverage),-1.0,1,1
1257,Tele2 Sverige AB,SE,257,SECURE (Active Local ROV),99.82,7,9
852,TELUS Communications Inc.,CA,257,SECURE (Active Local ROV),99.81,3,7
37271,Workonline Communications(Pty) Ltd,ZA,251,PARTIAL (Mixed Feeds),-1.0,7,11
199995,Omega Telecom LLC,UA,244,PARTIAL (Mixed Feeds),0.0,10,15
812,Rogers Communications Canada Inc.,CA,239,PARTIAL (Mixed Feeds),0.21,5,9
9299,PLDT (Philippine Long Distance Telephone Company),PH,225,PARTIAL (Mixed Feeds),0.33,12,17
12874,Fastweb SpA,IT,223,PARTIAL (Mixed Feeds),57.71,5,9
3214,xTom GmbH,DE,220,SECURE (Active Local ROV),99.21,3,7
30781,Free Pro SAS,FR,203,SECURE (Active Local ROV),98.28,3,5
135069,Feenix Communications Limited,NZ,202,PARTIAL (Mixed Feeds),0.0,4,7
264997,Direct Telecom Ltda,BR,201,PARTIAL (Mixed Feeds),0.29,2,5
60171,AFR-IX TELECOM S.A.,ZA,200,PARTIAL (Mixed Feeds),93.62,10,16
24724,Atman Sp. z o.o.,RU,199,PARTIAL (Mixed Feeds),-1.0,1,3
3215,Orange S.A.,FR,194,SECURE (Active Local ROV),99.85,1,2
3269,TIM S.p.A. (fka. Telecom Italia S.p.A.),IT,186,VULNERABLE (No Coverage),68.25,2,2
265269,MEGA TELE INFORMATICA,BR,183,VULNERABLE (No Coverage),0.17,6,6
41327,Fiber Telecom S.p.A.,IT,183,SECURE (Active Local ROV),97.18,6,10
263903,INFORBARRA TELECOM,BR,181,PARTIAL (Mixed Feeds),9.12,3,4
1680,Cellcom Fixed Line Communication L.P,IL,177,PARTIAL (Mixed Feeds),0.21,5,7
8866,Vivacom Bulgaria EAD,BG,177,SECURE (Active Local ROV),99.82,8,10
4764,Aussie Broadband,AU,177,SECURE (Active Local ROV),98.45,3,6
16019,Vodafone Czech Republic a.s.,CZ,176,SECURE (Full Coverage),99.83,0,2
262355,VSX Networks,BR,175,SECURE (Active Local ROV),100.0,4,6
262907,Brasil TecPar,BR,175,PARTIAL (Mixed Feeds),0.18,6,7
57866,Fusix Networks B.V.,NL,173,PARTIAL (Mixed Feeds),-1.0,4,8
2119,Telenor Norge AS,NO,172,SECURE (Active Local ROV),99.94,4,7
53667,FranTech Solutions,US,169,SECURE (Active Local ROV),100.0,3,5
4713,NTT Communications Corporation (OCN),JP,167,SECURE (Active Local ROV),98.85,1,2
8400,Telekom Srbija a.d.,RS,164,SECURE (Active Local ROV),99.83,6,7
4837,China Unicom Backbone,CN,163,CORE: UNPROTECTED,0.49,0,0
6667,Elisa Oyj,GB,160,PARTIAL (Mixed Feeds),-1.0,2,5
39801,France-IX L3 Services,FR,159,SECURE (Full Coverage),-1.0,0,1
327708,Airtel Rwanda Ltd,KE,156,PARTIAL (Mixed Feeds),1.58,6,9
208972,GIBIRNet Iletisim,RU,154,VULNERABLE (No Coverage),57.3,6,6
2856,British Telecommunications,GB,153,VULNERABLE (No Coverage),3.52,3,3
11427,Charter Communications Inc,US,149,SECURE (Active Local ROV),99.91,2,3
48070,DSM (GB) Limited,GB,149,VULNERABLE (No Coverage),-1.0,3,3
6079,RCN,US,147,SECURE (Active Local ROV),99.74,2,5
20001,Charter Communications Inc,US,147,SECURE (Active Local ROV),99.82,3,6
40264,Charter Communications LLC,US,147,SECURE (Active Local ROV),100.0,1,2
262999,IVI TECNOLOGIA E COMUNICAÇÃO LTDA,BR,147,VULNERABLE (No Coverage),0.06,6,6
49800,GNC-Alfa CJSC,AM,144,PARTIAL (Mixed Feeds),21.6,3,4
3758,SingNet,SG,144,PARTIAL (Mixed Feeds),0.32,4,6
2152,CENIC - CalREN,US,143,PARTIAL (Mixed Feeds),0.27,3,5
55850,Mercury NZ Limited,US,139,SECURE (Active Local ROV),99.39,3,3
36236,"NetActuate, Inc",BR,139,PARTIAL (Mixed Feeds),-1.0,15,23
2607,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET,SK,138,PARTIAL (Mixed Feeds),0.0,3,5
265038,TELFO SERVICO DE TELECOMUNICACOES LTDA,BR,138,PARTIAL (Mixed Feeds),91.03,2,5
394684,GOLD DATA USA INC,VE,137,PARTIAL (Mixed Feeds),0.15,3,8
2519,ARTERIA Networks Corporation,JP,134,PARTIAL (Mixed Feeds),0.12,2,6
3292,TDC Holding A/S,DK,129,SECURE (Active Local ROV),99.99,3,6
3462,HiNet (Chunghwa Telecom),TW,129,PARTIAL (Mixed Feeds),75.09,2,4
58715,EARTH TELECOMMUNICATION (Pvt) LTD.,BD,127,PARTIAL (Mixed Feeds),0.4,6,8
55002,"F5, Inc.",US,123,VULNERABLE (No Coverage),-1.0,3,3
9808,China Mobile Backbone,CN,121,CORE: UNPROTECTED,0.21,0,0
16509,"Amazon.com, Inc.",US,118,PARTIAL (Mixed Feeds),29.66,12,20
3399,Obenet AB,NL,117,SECURE (Full Coverage),100.0,0,3
2711,Spirit Communications,US,113,SECURE (Active Local ROV),97.75,3,5
7575,Australian Academic and Research Network (AARNet),AU,110,SECURE (Active Local ROV),100.0,3,5
29208,"Quantcom, a.s.",DE,110,SECURE (Active Local ROV),99.52,3,4
58224,Iran Telecommunication Company PJS,IR,109,VULNERABLE (No Coverage),64.76,4,4
28343,Unifique Telecomunicações SA,BR,109,PARTIAL (Mixed Feeds),56.28,2,4
33363,"Charter Communications, Inc",US,108,SECURE (Full Coverage),99.92,0,1
3302,Retelit Digital Services S.p.A.,IT,106,PARTIAL (Mixed Feeds),9.94,2,4
2518,BIGLOBE Inc.,JP,106,SECURE (Active Local ROV),98.92,4,5
15576,NTS workspace AG,CH,105,PARTIAL (Mixed Feeds),-1.0,2,5
2116,GLOBALCONNECT AS,NO,105,PARTIAL (Mixed Feeds),0.06,4,5
207841,Inferno Communications Ltd,GB,104,VULNERABLE (No Coverage),-1.0,3,3
3301,Telia Company AB,SE,104,SECURE (Active Local ROV),99.96,1,1
262462,Aranet Play,BR,101,PARTIAL (Mixed Feeds),0.15,2,3
134654,PT Data Utama Dinamika,ID,101,PARTIAL (Mixed Feeds),20.63,3,4
1267,WIND TRE S.P.A.,IT,99,PARTIAL (Mixed Feeds),0.19,2,3
262761,Sinal Br Telecom Ltda,BR,98,PARTIAL (Mixed Feeds),0.0,5,7
11351,Charter Communications Inc,US,98,SECURE (Full Coverage),99.96,0,2
3352,TELEFONICA DE ESPANA S.A.U.,ES,96,SECURE (Active Local ROV),99.91,1,1
15895,"""Kyivstar"" PJSC",UA,96,SECURE (Active Local ROV),99.81,3,4
262740,VELOO NET LTDA,BR,94,PARTIAL (Mixed Feeds),0.31,3,5
12479,Orange Espagne SA,ES,94,SECURE (Full Coverage),99.93,0,2
56655,Gigahost AS,RU,93,SECURE (Active Local ROV),100.0,2,3
11426,Charter Communications Inc,US,93,SECURE (Full Coverage),99.93,0,1
29802,"HIVELOCITY, Inc.",US,91,PARTIAL (Mixed Feeds),0.0,10,15
31242,P4 Sp. z o.o.,PL,90,SECURE (Active Local ROV),98.03,1,3
263966,WorldWifi,BR,87,PARTIAL (Mixed Feeds),0.16,4,5
55824,NKN Core Network,IN,87,VULNERABLE (No Coverage),2.62,2,2
263073,DTEL TELECOM,BR,87,PARTIAL (Mixed Feeds),0.08,3,5
262476,BRCENTRAL TELECOM,BR,87,PARTIAL (Mixed Feeds),3.52,5,6
262503,WIKI TELECOMUNICACOES EIRELI,BR,86,PARTIAL (Mixed Feeds),1.95,4,5
719,Elisa Oyj,FI,85,SECURE (Active Local ROV),99.96,1,1
39351,31173 Services AB,DE,84,SECURE (Active Local ROV),98.35,2,4
263432,CORPORATIVA TELECOMUNICACOES EIRELI ME,BR,82,PARTIAL (Mixed Feeds),1.46,4,5
1916,RNP - Rede Nacional de Ensino e Pesquisa,BR,81,PARTIAL (Mixed Feeds),2.71,3,5
47160,MOJI SAS,FR,81,PARTIAL (Mixed Feeds),-1.0,4,6
63927,RISE,DE,80,PARTIAL (Mixed Feeds),78.95,4,7
8767,M-net Telekommunikations GmbH,DE,79,SECURE (Active Local ROV),99.47,3,5
18106,Viewqwest Pte Ltd,US,79,SECURE (Active Local ROV),97.9,14,17
45177,Devoli,NZ,77,SECURE (Active Local ROV),99.59,3,3
12779,IT.Gate S.p.A.,IT,76,PARTIAL (Mixed Feeds),-1.0,3,5
367,United States Department of Defense (DoD),US,75,VULNERABLE (No Coverage),-1.0,3,3
5483,Magyar Telekom Plc.,HU,75,SECURE (Active Local ROV),99.89,3,4
39686,Eurofiber Nederland BV,NL,75,SECURE (Full Coverage),99.51,0,2
36994,Vodacom,GB,74,PARTIAL (Mixed Feeds),0.44,3,5
132770,Gazon Communications India Limited,IN,73,VULNERABLE (No Coverage),0.9,3,3
37497,Network Platforms (PTY) LTD,ZA,73,PARTIAL (Mixed Feeds),-1.0,4,7
209735,Lagrange Cloud Technologies Limited,GB,73,PARTIAL (Mixed Feeds),-1.0,2,3
263327,Online Telecom,BR,73,PARTIAL (Mixed Feeds),0.18,3,4
917,"Misaka Network, Inc.",US,71,PARTIAL (Mixed Feeds),0.0,10,13
263276,BBG TELECOM LTDA,BR,70,PARTIAL (Mixed Feeds),68.36,3,4
262847,DBUG TELECOM LTDA,BR,70,PARTIAL (Mixed Feeds),0.17,2,5
266409,SECW TELECOM,BR,66,PARTIAL (Mixed Feeds),0.0,3,6
27951,Media Commerce Partners S.A,CO,65,PARTIAL (Mixed Feeds),35.44,8,10
266167,CELERIX TECNOLOGIA DE TELECOMUNICACOES LTDA,BR,64,PARTIAL (Mixed Feeds),0.0,5,6
1759,Telia Finland Oyj,FI,64,SECURE (Active Local ROV),99.89,1,1
3212,Telemach Slovenija d.o.o.,DE,64,PARTIAL (Mixed Feeds),0.13,2,3
132280,Symphony Communication (Thailand) PCL.,TH,63,VULNERABLE (No Coverage),0.13,2,2
266445,SEA TELECOM LTDA,BR,63,PARTIAL (Mixed Feeds),0.18,5,7
9145,EWE TEL GmbH,DE,63,SECURE (Active Local ROV),99.69,2,5
29838,"Atlantic Metro Communications II, Inc.",US,63,PARTIAL (Mixed Feeds),-1.0,5,8
2381,WiscNet,US,62,PARTIAL (Mixed Feeds),2.39,2,5
2852,CESNET z.s.p.o.,CZ,62,SECURE (Active Local ROV),98.95,6,7
393577,Tritan Development,US,61,PARTIAL (Mixed Feeds),-1.0,2,4
266583,Telxe,BR,60,VULNERABLE (No Coverage),9.09,3,3
262191,LIBERTY NETWORKS DE COLOMBIA S.A.S,CO,60,VULNERABLE (No Coverage),3.45,1,1
17451,Biznet Networks,ID,60,PARTIAL (Mixed Feeds),2.28,7,9
37035,MIC TANZANIA LTD,TZ,60,PARTIAL (Mixed Feeds),0.27,5,7
5089,Virgin Media Limited,GB,60,SECURE (Active Local ROV),99.66,1,3
31042,Serbia BroadBand-Srpske Kablovske mreze d.o.o.,RS,60,VULNERABLE (No Coverage),0.08,4,4
16086,DNA Oyj,FI,59,SECURE (Active Local ROV),99.97,1,4
600,OARnet,US,59,SECURE (Active Local ROV),100.0,2,4
35699,Adamo Telecom Iberia S.A.,ES,59,PARTIAL (Mixed Feeds),29.21,3,6
134090,Leaptel,AU,59,PARTIAL (Mixed Feeds),0.0,1,2
265377,FLASH NET TELECOMUNICACOES LTDA - ME,BR,59,VULNERABLE (No Coverage),0.0,5,5
8473,Bahnhof AB,SE,58,SECURE (Active Local ROV),100.0,1,3
134823,"Sky Digital Co., Ltd.",TW,58,PARTIAL (Mixed Feeds),0.8,8,10
11232,Midcontinent Communications,US,58,SECURE (Active Local ROV),99.98,3,5
21413,Envia Tel GmbH,DE,57,SECURE (Active Local ROV),99.25,3,6
262494,Virtex Telecom,BR,57,PARTIAL (Mixed Feeds),42.97,5,6
3249,Telia Eesti AS,EE,56,VULNERABLE (No Coverage),0.05,1,1
36926,Airtel Networks Kenya Limited,KE,56,VULNERABLE (No Coverage),0.51,6,6
12271,Charter Communications Inc,US,55,SECURE (Active Local ROV),99.84,1,2
263703,VIGINET C.A (vnet),VE,55,PARTIAL (Mixed Feeds),12.64,3,4
262773,Proxxima Telecomunicações,BR,55,VULNERABLE (No Coverage),0.16,6,6
28725,CETIN a.s.,CZ,54,SECURE (Active Local ROV),99.51,1,2
20207,Gigared S.A.,AR,54,SECURE (Active Local ROV),99.72,2,5
265137,CONECTIVA TELECOM TECNOLOGIA LTDA - ME,BR,54,VULNERABLE (No Coverage),1.12,1,1
9136,WOBCOM GmbH,DE,53,SECURE (Active Local ROV),100.0,3,5
30990,Djibouti Telecom SA,DJ,52,PARTIAL (Mixed Feeds),75.22,4,7
327782,Metrofibre Networx,ZA,52,SECURE (Full Coverage),0.55,0,2
6849,"JSC ""Ukrtelecom""",UA,52,PARTIAL (Mixed Feeds),63.77,7,10
29695,Lyse Tele AS,NO,51,SECURE (Active Local ROV),95.84,1,3
394437,PS Lightwave,US,51,SECURE (Active Local ROV),97.51,2,5
1836,green.ch AG,CH,51,PARTIAL (Mixed Feeds),0.21,4,7
394177,Shift Hosting LLC,US,50,PARTIAL (Mixed Feeds),-1.0,1,3
132215,Powergrid Teleservices Limited,IN,50,VULNERABLE (No Coverage),0.54,3,3
9268,Over The Wire Pty Ltd,AU,50,PARTIAL (Mixed Feeds),-1.0,1,2
36873,Airtel Networks Limited,NG,50,VULNERABLE (No Coverage),2.18,6,6
266181,GOLDEN LINK,BR,49,PARTIAL (Mixed Feeds),5.93,4,6
22677,Charter Communications LLC,US,49,VULNERABLE (No Coverage),-1.0,1,1
6661,POST Luxembourg,GB,49,SECURE (Full Coverage),99.79,0,2
21700,"Neptune Networks, LLC",US,48,SECURE (Full Coverage),-1.0,0,3
263629,MASTER TECNOLOGIA,BR,48,VULNERABLE (No Coverage),0.29,4,4
55666,PT Media Sarana Data,ID,47,PARTIAL (Mixed Feeds),93.68,9,11
265442,VISUAL LINK COMUNICACOES MULTIMIDIA LTDA - ME,BR,47,SECURE (Active Local ROV),100.0,4,5
4809,China Telecom Next Generation Carrier Network,CN,46,CORE: UNPROTECTED,14.0,0,0
262532,NET ONDA SERVICOS DE INTERNET LTDA,BR,46,PARTIAL (Mixed Feeds),0.0,3,4
24875,NovoServe B.V.,NL,46,SECURE (Active Local ROV),99.52,4,7
397423,Tier.Net Technologies LLC,US,46,PARTIAL (Mixed Feeds),16.07,3,7
1136,KPN B.V.,NL,46,SECURE (Active Local ROV),100.0,1,4
3262,"SAREnet, S.A.",ES,46,SECURE (Active Local ROV),95.07,2,4
42313,ONE ALBANIA SH.A.,AL,45,PARTIAL (Mixed Feeds),37.53,3,4
199081,Lancom Ltd.,GR,45,SECURE (Active Local ROV),100.0,3,6
2860,"NOS COMUNICACOES, S.A.",PT,45,PARTIAL (Mixed Feeds),43.1,1,3
264293,Smart Solucoes em Telecomunicacoes,BR,45,PARTIAL (Mixed Feeds),0.12,5,7
263194,Advantun SRL,AR,44,SECURE (Full Coverage),86.19,0,3
11776,Breezeline,US,44,SECURE (Active Local ROV),98.8,1,2
37179,Africa Independent Network Exchange (Pty) LTD (AfricaINX),ZA,43,PARTIAL (Mixed Feeds),1.96,1,2
4181,TDS TELECOM,US,43,SECURE (Active Local ROV),99.93,1,3
263880,WANTEL TECNOLOGIA LTDA. ­ EPP,BR,43,VULNERABLE (No Coverage),0.25,5,5
25400,Telia Norge AS,NO,42,SECURE (Active Local ROV),99.97,1,1
264288,GNET PROVEDOR,BR,42,VULNERABLE (No Coverage),0.37,3,3
3816,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,CO,42,SECURE (Active Local ROV),99.73,1,1
29169,GANDI SAS,FR,42,PARTIAL (Mixed Feeds),-1.0,5,7
9607,"BroadBand Tower, Inc.",JP,42,PARTIAL (Mixed Feeds),-1.0,1,4
9280,Servers Australia Pty Ltd,AU,41,PARTIAL (Mixed Feeds),-1.0,1,2
21738,Rozint,US,41,PARTIAL (Mixed Feeds),-1.0,2,4
35179,Korbank S. A.,PL,41,PARTIAL (Mixed Feeds),0.0,2,4
3737,PenTeleData Inc.,US,41,PARTIAL (Mixed Feeds),0.2,1,3
263616,Dez Solucoes em Telecomunicacoes LTDA,BR,41,SECURE (Active Local ROV),97.86,1,2
61461,Airtek Solutions C.A.,US,40,PARTIAL (Mixed Feeds),17.82,5,10
36352,HostPapa,US,40,PARTIAL (Mixed Feeds),66.13,5,8
1653,Vetenskapsrådet / SUNET,SE,40,SECURE (Active Local ROV),100.0,1,1
8283,Netwerkvereniging Coloclue,NL,40,VULNERABLE (No Coverage),-1.0,9,9
855,Bell Canada,CA,40,PARTIAL (Mixed Feeds),0.28,1,5
