asn,name,cc,cone,verdict,apnic_score,dirty,total,atlas_verdict,peers_cloudflare
3356,Lumen (Level 3),US,61283,CORE: PROTECTED,98.97,0,0,SECURE,No Trace
1299,Arelion (fka. Telia Carrier),US,60908,CORE: PROTECTED,100.0,0,0,,
174,"Cogent Communications, LLC",US,56709,CORE: PROTECTED,99.44,0,0,SECURE,No Trace
6453,TATA Communications (America) Inc,US,45423,CORE: UNPROTECTED,0.0,0,0,,
3257,GTT Communications Inc.,US,44086,CORE: PROTECTED,96.88,0,0,,
2914,"NTT America, Inc.",US,39842,CORE: UNPROTECTED,21.78,0,0,,
6762,Telecom Italia Sparkle (Seabone),IT,37326,CORE: UNPROTECTED,-1.0,0,0,,
6939,Hurricane Electric LLC,US,34660,CORE: PROTECTED,99.32,0,0,,
12956,Telxius (Telefonica Global),US,32656,CORE: UNPROTECTED,-1.0,0,0,,
3491,"PCCW Global, Inc.",US,20161,CORE: UNPROTECTED,7.84,0,0,MIXED,No Trace
5511,Orange S.A.,FR,19753,CORE: PROTECTED,100.0,0,0,,
9002,RETN Limited,RU,12943,PARTIAL (Mixed Feeds),-1.0,21,28,,
3320,Deutsche Telekom AG,DE,12418,CORE: PROTECTED,99.8,0,0,SECURE,No Trace
6461,Zayo Bandwidth,US,12404,CORE: UNPROTECTED,3.4,0,0,,
58115,SwissIX Internet Exchange,CH,12018,IXP / Peer / Stub,-1.0,0,0,,
4637,Telstra Global,US,7572,CORE: UNPROTECTED,7.69,0,0,,
1273,Vodafone Group PLC,GB,6183,CORE: UNPROTECTED,94.19,0,0,,
13786,"Seaborn (Seabras USA, LLC)",BR,4754,SECURE (Active Local ROV),100.0,8,10,,
701,Verizon Business,US,4741,CORE: PROTECTED,99.79,0,0,SECURE,No Trace
37468,Angola Cables,BR,4482,PARTIAL (Mixed Feeds),0.0,17,22,VULNERABLE,No Trace
22356,Durand do Brasil Ltda,DE,4385,PARTIAL (Mixed Feeds),-1.0,8,10,,
23911,China Next Generation Internet Beijing IX,CN,4223,PARTIAL (Mixed Feeds),-1.0,2,3,,
38255,China Education and Research Network (CERNET),CN,4180,VULNERABLE (No Coverage),-1.0,3,3,,
7195,EdgeUno,BR,4067,SECURE (Active Local ROV),100.0,6,10,,
9498,Bharti Airtel Ltd.,IN,3986,PARTIAL (Mixed Feeds),2.29,21,29,,
12389,Rostelecom PJSC,RU,3883,PARTIAL (Mixed Feeds),3.56,10,15,VULNERABLE,No Trace
7473,Singapore Telecommunications Ltd,US,3424,SECURE (Active Local ROV),100.0,9,13,,
6830,Liberty Global Europe Holding B.V.,NL,3315,CORE: PROTECTED,99.84,0,0,SECURE,No Trace
58453,China Mobile International,US,3209,PARTIAL (Mixed Feeds),0.19,8,15,,
31133,MegaFon PJSC,RU,3113,PARTIAL (Mixed Feeds),-1.0,13,16,,
52320,V.tal (GlobeNet),BR,3049,PARTIAL (Mixed Feeds),0.0,10,16,,
1031,PEER 1031 LLC,BR,2901,PARTIAL (Mixed Feeds),-1.0,6,7,,
20764,CJSC RASCOM,RU,2751,PARTIAL (Mixed Feeds),-1.0,13,16,,
4755,TATA Communications (formerly VSNL),IN,2731,VULNERABLE (No Coverage),7.35,5,5,,
7922,"Comcast Cable Communications, LLC",US,2729,CORE: PROTECTED,99.92,0,0,SECURE,No Trace
3216,Vimpelcom PJSC,RU,2705,PARTIAL (Mixed Feeds),-1.0,20,23,,
7018,"AT&T Enterprises, LLC",US,2684,CORE: UNPROTECTED,57.16,0,0,SECURE,No Trace
50263,A-Systems Sp. z o.o.,UA,2572,PARTIAL (Mixed Feeds),-1.0,3,8,,
20485,JSC TransTeleKom,RU,2529,PARTIAL (Mixed Feeds),-1.0,11,14,,
10429,Vivo (TELEFÔNICA BRASIL),BR,2500,PARTIAL (Mixed Feeds),0.32,3,5,,
52468,UFINET PANAMA S.A.,BR,2383,PARTIAL (Mixed Feeds),0.99,24,33,,
4826,Vocus Connect International Backbone,AU,1907,SECURE (Active Local ROV),100.0,12,18,,
5405,Inter.link GmbH,DE,1899,PARTIAL (Mixed Feeds),-1.0,6,10,,
16735,Algar Telecom,BR,1886,PARTIAL (Mixed Feeds),76.98,16,18,,
15412,Flag Telecom UK Limited,GB,1855,PARTIAL (Mixed Feeds),-1.0,4,7,,
33891,Core-Backbone GmbH,DE,1838,PARTIAL (Mixed Feeds),-1.0,2,7,,
4230,Claro (Embratel),BR,1696,PARTIAL (Mixed Feeds),1.25,7,12,,
137409,GSL Networks Pty LTD,US,1611,PARTIAL (Mixed Feeds),54.64,7,9,,
35598,INETCOM CARRIER LLC,RU,1599,PARTIAL (Mixed Feeds),-1.0,10,13,,
62255,BiMajLink d.o.o.,RU,1564,PARTIAL (Mixed Feeds),-1.0,3,6,,
23764,China Telecom Global,HK,1546,PARTIAL (Mixed Feeds),0.0,19,26,,
8220,COLT,US,1544,SECURE (Active Local ROV),100.0,10,15,,
64049,Reliance Jio Infocomm Pte. Ltd.,GB,1515,PARTIAL (Mixed Feeds),-1.0,9,12,,
139057,Legend Dynasty Pte. Ltd.,SG,1487,PARTIAL (Mixed Feeds),29.14,51,59,,
14840,BR.DIGITAL ,BR,1251,PARTIAL (Mixed Feeds),2.02,16,18,,
5617,Orange Polska Spolka Akcyjna,PL,1186,SECURE (Full Coverage),99.7,0,2,,
46887,Crown Castle Fiber LLC,US,1182,PARTIAL (Mixed Feeds),4.32,1,3,,
6663,Türk Telekom International,RO,1151,PARTIAL (Mixed Feeds),0.0,4,6,,
57463,NetIX Communications JSC,DE,1109,PARTIAL (Mixed Feeds),-1.0,3,6,,
