asn,name,cc,cone,verdict,apnic_score,dirty_feeds,total_feeds
6939,Hurricane Electric LLC,XX,67536,CORE: PROTECTED,99.32,0,0
3356,Lumen (Level 3),XX,66965,CORE: PROTECTED,98.13,0,0
24482,SG.GS,XX,64799,Unverified (Peer/Transit?),-1.0,0,0
174,"Cogent Communications, LLC",XX,64379,CORE: PROTECTED,99.44,0,0
37721,Virtual Technologies & Solutions,XX,57969,Unverified (Peer/Transit?),-1.0,0,0
35280,F5 Networks SARL,XX,50890,Unverified (Peer/Transit?),-1.0,0,0
1299,Arelion (fka. Telia Carrier),XX,46293,CORE: PROTECTED,98.08,0,0
9002,RETN Limited,XX,44152,SECURE (Full Coverage),-1.0,0,2
6461,Zayo Bandwidth,XX,42412,CORE: PROTECTED,-1.0,0,0
17639,Converge ICT Solutions Inc.,XX,41020,SECURE (Full Coverage),-1.0,0,2
3216,Vimpelcom PJSC,XX,38203,SECURE (Full Coverage),-1.0,0,2
41327,Fiber Telecom S.p.A.,XX,36805,SECURE (Full Coverage),-1.0,0,2
33891,Core-Backbone GmbH,XX,34949,SECURE (Full Coverage),-1.0,0,3
34549,meerfarbig GmbH & Co. KG,XX,33499,SECURE (Full Coverage),-1.0,0,3
48362,Stadtwerke Feldkirch,XX,32234,SECURE (Full Coverage),-1.0,0,2
213241,TECHIT.BE SRL,XX,32050,SECURE (Full Coverage),-1.0,0,2
3257,GTT Communications Inc.,XX,29711,CORE: PROTECTED,-1.0,0,0
34927,iFog GmbH,XX,29351,SECURE (Full Coverage),-1.0,0,4
2914,"NTT America, Inc.",XX,28413,CORE: PROTECTED,-1.0,0,0
20485,JSC TransTeleKom,XX,28175,SECURE (Full Coverage),-1.0,0,4
34019,Hivane Association,XX,26520,SECURE (Full Coverage),-1.0,0,2
50673,Serverius Holding B.V.,XX,25290,SECURE (Full Coverage),-1.0,0,3
29632,Netassist International EOOD,XX,24525,SECURE (Full Coverage),-1.0,0,2
50300,CustodianDC Limited,XX,23755,PARTIAL (Mixed Feeds),-1.0,1,5
48185,team.blue NV,XX,23056,PARTIAL (Mixed Feeds),-1.0,1,4
25091,IP-Max SA,XX,20172,PARTIAL (Mixed Feeds),-1.0,1,4
13335,"Cloudflare, Inc.",XX,19848,SECURE (Full Coverage),99.55,0,4
56662,Marcin Gondek,XX,18386,SECURE (Full Coverage),-1.0,0,1
3333,Reseaux IP Europeens Network Coordination Centre (RIPE NCC),XX,16345,SECURE (Active Local ROV),-1.0,1,3
50304,Blix Solutions AS,XX,13794,SECURE (Active Local ROV),-1.0,1,3
12389,Rostelecom PJSC,XX,13483,SECURE (Full Coverage),3.56,0,3
1836,green.ch AG,XX,12741,PARTIAL (Mixed Feeds),-1.0,1,5
30781,Free Pro SAS,XX,11571,SECURE (Active Local ROV),-1.0,1,4
56655,Gigahost AS,XX,11314,SECURE (Active Local ROV),-1.0,1,3
4826,Vocus Connect International Backbone,XX,11299,SECURE (Active Local ROV),-1.0,1,4
48858,"JSC ""ER-Telecom Holding""",XX,10871,PARTIAL (Mixed Feeds),-1.0,1,4
6762,Telecom Italia Sparkle (Seabone),XX,10752,CORE: PROTECTED,-1.0,0,0
20473,"The Constant Company, LLC",XX,10696,SECURE (Active Local ROV),99.19,1,5
6453,TATA Communications (America) Inc,XX,8397,CORE: PROTECTED,0.0,0,0
3491,"PCCW Global, Inc.",XX,8388,CORE: PROTECTED,-1.0,0,0
49673,Truenetwork LLC,XX,8240,SECURE (Full Coverage),-1.0,0,2
3303,Swisscom (Schweiz) AG,XX,8187,SECURE (Full Coverage),-1.0,0,4
9498,Bharti Airtel Ltd.,XX,8024,PARTIAL (Mixed Feeds),-1.0,1,5
208972,GIBIRNet Iletisim,XX,8015,SECURE (Active Local ROV),-1.0,1,3
7575,Australian Academic and Research Network (AARNet),XX,7508,SECURE (Active Local ROV),-1.0,1,6
38001,NewMedia Express Pte. Ltd.,XX,6910,SECURE (Full Coverage),-1.0,0,6
8220,COLT,XX,6793,SECURE (Active Local ROV),-1.0,1,4
1103,SURF B.V.,XX,6172,SECURE (Active Local ROV),-1.0,3,7
9304,HGC Global Communications Limited,XX,6105,PARTIAL (Mixed Feeds),-1.0,1,7
8966,Etisalat (ETC),XX,5921,PARTIAL (Mixed Feeds),-1.0,3,11
