asn,name,cc,cone,verdict,apnic_score,dirty_feeds,total_feeds,atlas_result,apnic_stdev,apnic_min90,apnic_max90
6939,Hurricane Electric LLC,US,72881,CORE: ACTIVE PROTECTOR,100.0,0,0,,3.5,88.5,99.9
174,"Cogent Communications, LLC",US,68015,CORE: ACTIVE PROTECTOR,97.34,0,0,SECURE (Verified Active),6.3,74.6,99.4
24482,SG.GS,SG,67857,ACTIVE (Atlas Verified),-1.0,1,5,SECURE (Verified Active),-1.0,-1.0,-1.0
3356,Lumen (Level 3),US,67370,CORE: ACTIVE PROTECTOR,96.13,0,0,SECURE (Verified Active),2.2,90.6,99.5
37721,Virtual Technologies & Solutions,BF,60716,VULNERABLE (Atlas Verified),0.0,0,14,VULNERABLE,-1.0,-1.0,-1.0
35280,F5 Networks SARL,FR,52753,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,INCONCLUSIVE (Bypassed),-1.0,-1.0,-1.0
1299,Arelion (fka. Telia Carrier),SE,50748,CORE: ACTIVE PROTECTOR,100.0,0,0,,37.5,0.0,100.0
9002,RETN Limited,GB,48665,Unverified (Transit/Peer?),79.13,0,0,,15.3,0.0,100.0
6461,Zayo Bandwidth,US,47263,CORE: ACTIVE PROTECTOR,1.16,0,0,,-1.0,-1.0,-1.0
17639,Converge ICT Solutions Inc.,PH,43128,PARTIAL: VULNERABLE (Mixed),0.35,4,16,,-1.0,-1.0,-1.0
3216,Vimpelcom PJSC,RU,35341,PARTIAL: VULNERABLE (Mixed),-1.0,1,8,,-1.0,-1.0,-1.0
34549,meerfarbig GmbH & Co. KG,DE,35312,PARTIAL: VULNERABLE (Mixed),-1.0,1,8,,-1.0,-1.0,-1.0
34927,iFog GmbH,CH,34451,PARTIAL: VULNERABLE (Mixed),-1.0,2,11,,-1.0,-1.0,-1.0
33891,Core-Backbone GmbH,DE,33935,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,-1.0,-1.0,-1.0
48362,Stadtwerke Feldkirch,AT,32931,PARTIAL: VULNERABLE (Mixed),-1.0,1,4,,-1.0,-1.0,-1.0
3257,GTT Communications Inc.,US,32631,CORE: ACTIVE PROTECTOR,100.0,0,0,,1.4,92.4,98.8
34019,Hivane Association,FR,31654,ACTIVE (Atlas Verified),-1.0,4,10,SECURE (Verified Active),-1.0,-1.0,-1.0
2914,"NTT America, Inc.",US,31360,CORE: ACTIVE PROTECTOR,84.82,0,0,,6.3,73.4,98.7
20485,TransTeleCom JSC,RU,28807,PARTIAL: VULNERABLE (Mixed),-1.0,1,7,,-1.0,-1.0,-1.0
12779,IT.Gate S.p.A.,IT,26743,PARTIAL: VULNERABLE (Mixed),-1.0,2,5,,-1.0,-1.0,-1.0
213241,TECHIT.BE SRL,BE,25036,PARTIAL: VULNERABLE (Mixed),69.41,2,3,,30.2,0.0,82.9
50673,Serverius Holding B.V.,NL,24452,PASSIVE (Clean Pipe),-1.0,0,6,,-1.0,-1.0,-1.0
50300,CustodianDC Limited,GB,22952,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,-1.0,-1.0,-1.0
3214,xTom GmbH,DE,22045,PARTIAL: VULNERABLE (Mixed),100.0,1,7,,18.6,46.2,100.0
48185,team.blue NV,BE,21668,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,-1.0,-1.0,-1.0
29632,Netassist International EOOD,DE,21632,PARTIAL: VULNERABLE (Mixed),-1.0,1,3,,-1.0,-1.0,-1.0
13335,"Cloudflare, Inc.",US,18875,ACTIVE LOCAL ROV (Hardcoded),100.0,13,34,,9.5,32.9,65.9
3333,Reseaux IP Europeens Network Coordination Centre (RIPE NCC),NL,17356,ACTIVE LOCAL ROV,-1.0,0,5,,-1.0,-1.0,-1.0
20473,"The Constant Company, LLC",US,15944,ACTIVE (Atlas Verified),100.0,4,19,SECURE (Verified Active),0.9,96.0,99.8
50304,Blix Solutions AS,NO,15241,ACTIVE LOCAL ROV,-1.0,0,2,,-1.0,-1.0,-1.0
56655,Gigahost AS,NO,14487,PARTIAL: VULNERABLE (Mixed),94.09,1,3,,4.2,79.7,98.6
212024,Marc Schmitt,FR,14156,PARTIAL: VULNERABLE (Mixed),-1.0,1,2,,-1.0,-1.0,-1.0
25091,IP-Max SA,CH,13742,PARTIAL: VULNERABLE (Mixed),-1.0,2,8,,-1.0,-1.0,-1.0
1836,green.ch AG,CH,13649,PARTIAL: VULNERABLE (Mixed),0.0,3,7,,-1.0,-1.0,-1.0
31500,Global Network Management Inc,AG,13306,PASSIVE (Clean Pipe),-1.0,0,3,,-1.0,-1.0,-1.0
56662,Marcin Gondek,PL,12612,PARTIAL: VULNERABLE (Mixed),-1.0,3,4,,-1.0,-1.0,-1.0
31133,MegaFon PJSC,RU,11110,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,-1.0,-1.0,-1.0
6762,Telecom Italia Sparkle (Seabone),IT,11053,CORE: ACTIVE PROTECTOR,-1.0,0,0,,-1.0,-1.0,-1.0
12389,Rostelecom PJSC,RU,11019,VULNERABLE (Atlas Verified),2.34,1,11,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
30781,Free Pro SAS,FR,10895,ACTIVE LOCAL ROV,98.89,0,5,,2.1,90.8,100.0
7575,Australian Academic and Research Network (AARNet),AU,9639,ACTIVE LOCAL ROV,99.26,0,4,,1.0,96.7,100.0
7018,"AT&T Enterprises, LLC",US,9477,CORE: ACTIVE PROTECTOR,55.56,0,0,SECURE (Verified Active),-1.0,-1.0,-1.0
3491,PCCW Global (HK) Ltd.,HK,9309,CORE: ACTIVE PROTECTOR,95.16,0,0,SECURE (Verified Active),45.0,0.8,100.0
49673,Truenetwork LLC,RU,9069,PARTIAL: VULNERABLE (Mixed),-1.0,5,6,,-1.0,-1.0,-1.0
6453,TATA Communications (America) Inc,US,8861,CORE: ACTIVE PROTECTOR,71.96,0,0,,29.1,0.0,100.0
9498,Bharti Airtel Ltd.,IN,8814,PASSIVE (Clean Pipe),1.75,0,12,,-1.0,-1.0,-1.0
208972,GIBIRNet Iletisim,TR,8200,PARTIAL: VULNERABLE (Mixed),57.79,5,6,,-1.0,-1.0,-1.0
38001,NewMedia Express Pte. Ltd.,SG,8039,PARTIAL: VULNERABLE (Mixed),8.9,2,8,,-1.0,-1.0,-1.0
8966,Etisalat (E&),AE,7066,PARTIAL: VULNERABLE (Mixed),0.11,2,14,,-1.0,-1.0,-1.0
701,Verizon Business,US,6995,CORE: ACTIVE PROTECTOR,99.77,0,0,SECURE (Verified Active),0.4,98.3,99.9
7713,PT Telkom Indonesia Tbk,ID,6670,PARTIAL: VULNERABLE (Mixed),0.71,2,15,,-1.0,-1.0,-1.0
1103,SURF B.V.,NL,6435,PARTIAL: VULNERABLE (Mixed),100.0,2,5,,0.0,99.8,100.0
8220,COLT,GB,6398,ACTIVE LOCAL ROV,100.0,0,9,,1.7,90.3,99.4
58057,Securebit AG,CH,6239,PARTIAL: VULNERABLE (Mixed),-1.0,10,17,,-1.0,-1.0,-1.0
8218,Zayo Europe,FR,6213,PARTIAL: VULNERABLE (Mixed),100.0,1,3,,2.6,88.9,100.0
