asn,name,source,verdict,apnic_score,signed_pct,cone,dirty_upstreams
1299,Arelion (fka. Telia Carrier),BGP.Tools List,CORE PROTECTOR (Tier 1),-1,0.0,61899,0
3356,Lumen (Level 3),BGP.Tools List,CORE PROTECTOR (Tier 1),-1,0.0,61868,0
174,"Cogent Communications, LLC",BGP.Tools List,CORE PROTECTOR (Tier 1),-1,0.0,56709,0
3257,GTT Communications Inc.,BGP.Tools List,CORE PROTECTOR (Tier 1),-1,0.0,44086,0
6939,Hurricane Electric LLC,BGP.Tools List,CORE PROTECTOR (Tier 1),-1,0.0,34660,0
3320,Deutsche Telekom AG,BGP.Tools List,CORE PROTECTOR (Tier 1),-1,0.0,12418,0
701,Verizon Business,BGP.Tools List,CORE PROTECTOR (Tier 1),-1,0.0,4741,0
6830,Liberty Global Europe Holding B.V.,BGP.Tools List,CORE PROTECTOR (Tier 1),-1,0.0,3315,0
7018,"AT&T Enterprises, LLC",BGP.Tools List,CORE PROTECTOR (Tier 1),-1,0.0,2684,0
9002,RETN Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,12943,22
141013,GetaFIX Content Network,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,10570,0
1273,Vodafone Group PLC,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,6183,5
7195,EdgeUno,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,4067,6
20764,CJSC RASCOM,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,2751,13
7922,"Comcast Cable Communications, LLC",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,2729,5
4826,Vocus Connect International Backbone,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,1907,12
5405,Inter.link GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,1899,7
8220,COLT,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,1544,10
5617,Orange Polska Spolka Akcyjna,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,1186,1
20473,"The Constant Company, LLC",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,1034,21
1221,Telstra Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,960,1
13335,"Cloudflare, Inc.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,934,228
24482,SG.GS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,854,10
26615,TIM S/A,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,834,9
37100,SEACOM Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,653,12
2497,Internet Initiative Japan Inc.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,640,3
12741,Netia SA,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,589,10
209,Lumen (ex. Qwest),BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,510,0
22773,Cox Communications Inc.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,507,0
3303,Swisscom (Schweiz) AG,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,503,6
7029,Windstream Communications LLC,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,502,6
4788,TM Technology Services Sdn. Bhd.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,481,8
8708,DIGI ROMANIA S.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,467,5
577,Bell Canada,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,467,6
3326,Datagroup PJSC,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,457,3
38195,Superloop,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,409,5
17676,SoftBank Corp.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,401,4
9141,P4 Sp. z o.o.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,390,0
1764,Next Layer Telecommunications,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,381,2
50629,LWLcom GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,360,1
35320,Eurotranstelecom Ltd,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,346,2
23947,PT Mora Telematika Indonesia Tbk,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,320,7
18403,FPT Telecom Company,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,311,15
10796,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,305,3
199524,Gcore S.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,278,34
12880,Iran Information Technology Company PJSC,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,267,1
852,TELUS Communications Inc.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,257,2
1257,Tele2 Sverige AB,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,257,6
9299,PLDT (Philippine Long Distance Telephone Company),BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,225,12
12874,Fastweb SpA,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,223,4
3214,xTom GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,220,3
30781,Free Pro SAS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,203,3
60171,AFR-IX TELECOM S.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,200,11
24724,Atman Sp. z o.o.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,199,0
3215,Orange S.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,194,1
41327,Fiber Telecom S.p.A.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,183,6
8866,Vivacom Bulgaria EAD,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,177,6
4764,Aussie Broadband,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,177,1
16019,Vodafone Czech Republic a.s.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,176,0
57866,Fusix Networks B.V.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,173,5
2119,Telenor Norge AS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,172,4
53667,FranTech Solutions,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,169,3
4713,NTT Communications Corporation (OCN),BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,167,1
8400,Telekom Srbija a.d.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,164,4
6667,Elisa Oyj,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,160,1
208972,GIBIRNet Iletisim,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,154,5
11427,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,149,3
48070,DSM (GB) Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,149,2
20001,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,147,4
6079,RCN,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,147,1
49800,GNC-Alfa CJSC,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,144,2
36236,"NetActuate, Inc",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,139,14
55850,Mercury NZ Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,139,2
3292,TDC Holding A/S,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,129,2
3462,HiNet (Chunghwa Telecom),BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,129,3
55002,"F5, Inc.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,123,3
16509,"Amazon.com, Inc.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,118,10
3399,Obenet AB,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,117,1
29208,"Quantcom, a.s.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,110,2
7575,Australian Academic and Research Network (AARNet),BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,110,3
58224,Iran Telecommunication Company PJS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,109,3
28343,Unifique Telecomunicações SA,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,109,2
33363,"Charter Communications, Inc",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,108,1
2518,BIGLOBE Inc.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,106,3
15576,NTS workspace AG,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,105,2
207841,Inferno Communications Ltd,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,104,3
3301,Telia Company AB,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,104,0
11351,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,98,2
3352,TELEFONICA DE ESPANA S.A.U.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,96,1
15895,"""Kyivstar"" PJSC",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,96,1
12479,Orange Espagne SA,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,94,1
11426,Charter Communications Inc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,93,1
56655,Gigahost AS,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,93,1
