asn,name,cone,verdict,dirty,total
1299,Arelion (fka. Telia Carrier),61899,CORE: PROTECTED,0,0
3356,Lumen (Level 3),61868,CORE: PROTECTED,0,0
174,"Cogent Communications, LLC",56709,CORE: PROTECTED,0,0
3257,GTT Communications Inc.,44086,CORE: PROTECTED,0,0
6939,Hurricane Electric LLC,34660,CORE: PROTECTED,0,0
9002,RETN Limited,12943,SECURE (Active Local ROV),21,28
3320,Deutsche Telekom AG,12418,CORE: PROTECTED,0,0
141013,GetaFIX Content Network,10570,SECURE (Full Coverage),0,1
1273,Vodafone Group PLC,6183,CORE: PROTECTED,0,0
701,Verizon Business,4741,CORE: PROTECTED,0,0
7195,EdgeUno,4067,SECURE (Active Local ROV),6,10
6830,Liberty Global Europe Holding B.V.,3315,CORE: PROTECTED,0,0
20764,CJSC RASCOM,2751,SECURE (Active Local ROV),13,16
7922,"Comcast Cable Communications, LLC",2729,CORE: PROTECTED,0,0
7018,"AT&T Enterprises, LLC",2684,CORE: PROTECTED,0,0
4826,Vocus Connect International Backbone,1907,SECURE (Active Local ROV),11,18
5405,Inter.link GmbH,1899,SECURE (Active Local ROV),6,10
16735,Algar Telecom,1886,SECURE (Active Local ROV),16,18
8220,COLT,1544,SECURE (Active Local ROV),9,15
5617,Orange Polska Spolka Akcyjna,1186,SECURE (Full Coverage),0,2
20473,"The Constant Company, LLC",1034,SECURE (Active Local ROV),20,32
1221,Telstra Limited,960,SECURE (Active Local ROV),1,3
13335,"Cloudflare, Inc.",934,SECURE (Active Local ROV),224,255
262589,Megatelecom (Internexa BR),874,PARTIAL (Mixed Feeds),9,11
24482,SG.GS,854,SECURE (Active Local ROV),10,12
26615,TIM S/A,834,SECURE (Active Local ROV),9,10
37100,SEACOM Limited,653,SECURE (Active Local ROV),12,17
2497,Internet Initiative Japan Inc.,640,SECURE (Active Local ROV),2,7
37662,West Indian Ocean Cable Company (WIOCC),625,PARTIAL (Mixed Feeds),17,23
12741,Netia SA,589,SECURE (Active Local ROV),9,12
209,Lumen (ex. Qwest),510,CORE: PROTECTED,0,0
22773,Cox Communications Inc.,507,SECURE (Full Coverage),0,3
34984,Superonline Iletisim Hizmetleri A.S.,505,SECURE (Active Local ROV),6,8
3303,Swisscom (Schweiz) AG,503,SECURE (Active Local ROV),5,11
7029,Windstream Communications LLC,502,SECURE (Active Local ROV),5,7
4788,TM Technology Services Sdn. Bhd.,481,SECURE (Active Local ROV),7,12
577,Bell Canada,467,SECURE (Active Local ROV),6,12
8708,DIGI ROMANIA S.A.,467,SECURE (Active Local ROV),5,8
3326,Datagroup PJSC,457,SECURE (Active Local ROV),3,7
38195,Superloop,409,SECURE (Active Local ROV),4,10
17676,SoftBank Corp.,401,SECURE (Active Local ROV),4,8
9141,P4 Sp. z o.o.,390,SECURE (Full Coverage),0,2
1764,Next Layer Telecommunications,381,SECURE (Active Local ROV),2,7
50629,LWLcom GmbH,360,SECURE (Full Coverage),0,5
35320,Eurotranstelecom Ltd,346,SECURE (Active Local ROV),2,5
23947,PT Mora Telematika Indonesia Tbk,320,SECURE (Active Local ROV),6,11
18403,FPT Telecom Company,311,SECURE (Active Local ROV),12,18
10796,Charter Communications Inc,305,SECURE (Active Local ROV),2,4
8452,Telecom Egypt,284,SECURE (Active Local ROV),3,7
199524,Gcore S.A.,278,SECURE (Active Local ROV),31,46
12880,Iran Information Technology Company PJSC,267,SECURE (Active Local ROV),1,1
852,TELUS Communications Inc.,257,SECURE (Active Local ROV),2,7
1257,Tele2 Sverige AB,257,SECURE (Active Local ROV),6,9
9299,PLDT (Philippine Long Distance Telephone Company),225,SECURE (Active Local ROV),12,17
12874,Fastweb SpA,223,SECURE (Active Local ROV),4,9
3214,xTom GmbH,220,SECURE (Active Local ROV),2,7
30781,Free Pro SAS,203,SECURE (Active Local ROV),2,5
60171,AFR-IX TELECOM S.A.,200,SECURE (Active Local ROV),10,16
24724,Atman Sp. z o.o.,199,SECURE (Full Coverage),0,3
3215,Orange S.A.,194,SECURE (Full Coverage),0,2
3269,TIM S.p.A. (fka. Telecom Italia S.p.A.),186,SECURE (Active Local ROV),2,2
41327,Fiber Telecom S.p.A.,183,SECURE (Active Local ROV),6,10
4764,Aussie Broadband,177,SECURE (Active Local ROV),1,6
8866,Vivacom Bulgaria EAD,177,SECURE (Active Local ROV),6,10
16019,Vodafone Czech Republic a.s.,176,SECURE (Full Coverage),0,2
262355,VSX Networks,175,SECURE (Active Local ROV),4,6
57866,Fusix Networks B.V.,173,SECURE (Active Local ROV),4,8
2119,Telenor Norge AS,172,SECURE (Active Local ROV),3,7
53667,FranTech Solutions,169,SECURE (Active Local ROV),3,5
4713,NTT Communications Corporation (OCN),167,SECURE (Active Local ROV),1,2
8400,Telekom Srbija a.d.,164,SECURE (Active Local ROV),4,7
6667,Elisa Oyj,160,SECURE (Active Local ROV),1,5
327708,Airtel Rwanda Ltd,156,PARTIAL (Mixed Feeds),6,9
208972,GIBIRNet Iletisim,154,SECURE (Active Local ROV),5,6
48070,DSM (GB) Limited,149,SECURE (Active Local ROV),2,3
11427,Charter Communications Inc,149,SECURE (Active Local ROV),2,3
6079,RCN,147,SECURE (Active Local ROV),1,5
20001,Charter Communications Inc,147,SECURE (Active Local ROV),3,6
49800,GNC-Alfa CJSC,144,SECURE (Active Local ROV),2,4
36236,"NetActuate, Inc",139,SECURE (Active Local ROV),14,23
55850,Mercury NZ Limited,139,SECURE (Active Local ROV),2,3
3292,TDC Holding A/S,129,SECURE (Active Local ROV),2,6
3462,HiNet (Chunghwa Telecom),129,SECURE (Active Local ROV),2,4
55002,"F5, Inc.",123,SECURE (Active Local ROV),3,3
16509,"Amazon.com, Inc.",118,SECURE (Active Local ROV),10,20
3399,Obenet AB,117,SECURE (Full Coverage),0,3
7575,Australian Academic and Research Network (AARNet),110,SECURE (Active Local ROV),3,5
29208,"Quantcom, a.s.",110,SECURE (Active Local ROV),2,4
28343,Unifique Telecomunicações SA,109,SECURE (Active Local ROV),2,4
58224,Iran Telecommunication Company PJS,109,SECURE (Active Local ROV),3,4
33363,"Charter Communications, Inc",108,SECURE (Full Coverage),0,1
2518,BIGLOBE Inc.,106,SECURE (Active Local ROV),3,5
15576,NTS workspace AG,105,SECURE (Active Local ROV),2,5
207841,Inferno Communications Ltd,104,SECURE (Active Local ROV),3,3
3301,Telia Company AB,104,SECURE (Full Coverage),0,1
