asn,name,cc,cone,verdict,customer_avg_signing,quadrant,description
6939,Hurricane Electric LLC,US,67596,CORE: PROTECTED,59.71872087001554,Q3: WASTED TECH,Secure Provider + Lazy Customers
3356,Lumen (Level 3),US,66688,CORE: PROTECTED,33.13614567526555,Q3: WASTED TECH,Secure Provider + Lazy Customers
24482,SG.GS,SG,64806,Unverified (Transit/Peer?),73.57833333333333,Q2: THE VICTIMS,Vulnerable Provider + Diligent Customers
174,"Cogent Communications, LLC",US,64462,CORE: PROTECTED,43.09976179842191,Q3: WASTED TECH,Secure Provider + Lazy Customers
37721,Virtual Technologies & Solutions,BF,57892,Unverified (Transit/Peer?),66.6,Q2: THE VICTIMS,Vulnerable Provider + Diligent Customers
35280,F5 Networks SARL,FR,50697,Unverified (Transit/Peer?),66.1676923076923,Q2: THE VICTIMS,Vulnerable Provider + Diligent Customers
1299,Arelion (fka. Telia Carrier),SE,46648,CORE: PROTECTED,65.14447040498442,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
9002,RETN Limited,GB,44394,SECURE (Full Coverage),67.67623509369676,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
6461,Zayo Bandwidth,US,41650,CORE: PROTECTED,31.864880684376406,Q3: WASTED TECH,Secure Provider + Lazy Customers
17639,Converge ICT Solutions Inc.,PH,41299,SECURE (Full Coverage),84.73835616438356,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
3216,Vimpelcom PJSC,RU,37970,SECURE (Full Coverage),31.387413394919168,Q3: WASTED TECH,Secure Provider + Lazy Customers
41327,Fiber Telecom S.p.A.,IT,36558,SECURE (Full Coverage),86.50070921985815,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
34549,meerfarbig GmbH & Co. KG,DE,34483,SECURE (Full Coverage),63.81090909090909,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
33891,Core-Backbone GmbH,DE,33373,SECURE (Full Coverage),68.07772727272727,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
213241,TECHIT.BE SRL,BE,32535,SECURE (Full Coverage),0.0,Q3: WASTED TECH,Secure Provider + Lazy Customers
34927,iFog GmbH,CH,29713,SECURE (Full Coverage),32.647654320987655,Q3: WASTED TECH,Secure Provider + Lazy Customers
2914,"NTT America, Inc.",US,29632,CORE: PROTECTED,60.94304054054054,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
3257,GTT Communications Inc.,US,29265,CORE: PROTECTED,49.59013303769402,Q3: WASTED TECH,Secure Provider + Lazy Customers
20485,TransTeleCom JSC,RU,28132,SECURE (Full Coverage),36.54113263785395,Q3: WASTED TECH,Secure Provider + Lazy Customers
34019,Hivane Association,FR,26890,SECURE (Full Coverage),73.32272727272726,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
50673,Serverius Holding B.V.,NL,25327,SECURE (Full Coverage),73.61747572815534,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
29632,Netassist International EOOD,DE,23796,SECURE (Full Coverage),30.14411764705882,Q3: WASTED TECH,Secure Provider + Lazy Customers
50300,CustodianDC Limited,GB,23678,SECURE (Full Coverage),85.33333333333333,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
48185,team.blue NV,BE,22499,SECURE (Full Coverage),67.23333333333333,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
25091,IP-Max SA,CH,19380,SECURE (Full Coverage),79.63661971830986,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
13335,"Cloudflare, Inc.",US,19261,SECURE (Full Coverage),44.41009879253567,Q3: WASTED TECH,Secure Provider + Lazy Customers
56662,Marcin Gondek,PL,19141,SECURE (Full Coverage),0.0,Q3: WASTED TECH,Secure Provider + Lazy Customers
3333,Reseaux IP Europeens Network Coordination Centre (RIPE NCC),NL,16959,SECURE (Full Coverage),95.45,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
212024,Marc Schmitt,FR,15156,SECURE (Full Coverage),0.0,Q3: WASTED TECH,Secure Provider + Lazy Customers
50304,Blix Solutions AS,NO,14233,SECURE (Full Coverage),59.961290322580645,Q3: WASTED TECH,Secure Provider + Lazy Customers
12389,Rostelecom PJSC,RU,14014,SECURE (Full Coverage),36.88582677165354,Q3: WASTED TECH,Secure Provider + Lazy Customers
1836,green.ch AG,CH,13419,SECURE (Full Coverage),75.0,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
30781,Free Pro SAS,FR,12284,SECURE (Full Coverage),68.2551724137931,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
56655,Gigahost AS,NO,11598,SECURE (Full Coverage),51.98833333333334,Q3: WASTED TECH,Secure Provider + Lazy Customers
4826,Vocus Connect International Backbone,AU,11401,SECURE (Full Coverage),50.637946428571425,Q3: WASTED TECH,Secure Provider + Lazy Customers
48858,"JSC ""ER-Telecom Holding""",RU,11016,SECURE (Full Coverage),41.04772727272727,Q3: WASTED TECH,Secure Provider + Lazy Customers
6762,Telecom Italia Sparkle (Seabone),IT,10904,CORE: PROTECTED,75.28012820512821,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
20473,"The Constant Company, LLC",US,10169,SECURE (Full Coverage),50.71170212765958,Q3: WASTED TECH,Secure Provider + Lazy Customers
49673,Truenetwork LLC,RU,10031,SECURE (Full Coverage),80.0,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
3491,"PCCW Global, Inc.",US,8741,CORE: PROTECTED,62.19577235772358,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
6453,TATA Communications (America) Inc,US,8721,CORE: PROTECTED,64.00080906148867,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
3303,Swisscom (Schweiz) AG,CH,8109,SECURE (Full Coverage),66.20722891566265,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
208972,GIBIRNet Iletisim,TR,8046,SECURE (Full Coverage),95.38604651162791,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
9498,Bharti Airtel Ltd.,IN,7921,SECURE (Full Coverage),56.44513966480447,Q3: WASTED TECH,Secure Provider + Lazy Customers
7575,Australian Academic and Research Network (AARNet),AU,7645,SECURE (Full Coverage),34.96304347826087,Q3: WASTED TECH,Secure Provider + Lazy Customers
38001,NewMedia Express Pte. Ltd.,SG,7628,SECURE (Full Coverage),72.06470588235294,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
1103,SURF B.V.,NL,6335,SECURE (Active Local ROV),66.90434782608695,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
7713,PT Telkom Indonesia Tbk,ID,5957,SECURE (Full Coverage),66.00469387755102,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
8966,Etisalat (ETC),AE,5932,PARTIAL (Mixed Feeds),75.5018181818182,Q2: THE VICTIMS,Vulnerable Provider + Diligent Customers
8220,COLT,GB,5870,SECURE (Full Coverage),44.36978281397545,Q3: WASTED TECH,Secure Provider + Lazy Customers
9304,HGC Global Communications Limited,HK,5334,SECURE (Full Coverage),48.351269035533,Q3: WASTED TECH,Secure Provider + Lazy Customers
7018,"AT&T Enterprises, LLC",US,5291,CORE: PROTECTED,14.97628732150584,Q3: WASTED TECH,Secure Provider + Lazy Customers
58057,Securebit AG,CH,5072,SECURE (Full Coverage),39.397014925373135,Q3: WASTED TECH,Secure Provider + Lazy Customers
6696,VERIXI SA,BE,5040,SECURE (Full Coverage),67.81153846153846,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
4637,Telstra Global,HK,4880,CORE: PROTECTED,52.79709762532981,Q3: WASTED TECH,Secure Provider + Lazy Customers
52468,UFINET PANAMA S.A.,PA,4483,SECURE (Full Coverage),61.01201923076923,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
38255,China Education and Research Network (CERNET),CN,4183,Unverified (Transit/Peer?),0.0,Q4: THE SWAMP,Vulnerable Provider + Lazy Customers
3320,Deutsche Telekom AG,DE,4049,CORE: PROTECTED,55.01244167962675,Q3: WASTED TECH,Secure Provider + Lazy Customers
701,Verizon Business,US,4042,CORE: PROTECTED,17.97429492344883,Q3: WASTED TECH,Secure Provider + Lazy Customers
57304,RETN Russia,RU,3891,PARTIAL (Mixed Feeds),71.58888888888889,Q2: THE VICTIMS,Vulnerable Provider + Diligent Customers
22652,Videotron Ltee,CA,3528,SECURE (Full Coverage),36.293670886075944,Q3: WASTED TECH,Secure Provider + Lazy Customers
