Quadrant,ASN,CC,Cone,Percentile,Name
Q1: GOLD STANDARD,6939,US,67899,60.10652511651994,Hurricane Electric LLC
Q1: GOLD STANDARD,1299,SE,47517,65.75685358255451,Arelion (fka. Telia Carrier)
Q1: GOLD STANDARD,9002,GB,45924,67.67248722316866,RETN Limited
Q1: GOLD STANDARD,17639,PH,41435,84.78767123287672,Converge ICT Solutions Inc.
Q1: GOLD STANDARD,34549,DE,34644,67.31272727272727,meerfarbig GmbH & Co. KG
Q1: GOLD STANDARD,48362,AT,34275,68.30588235294118,Stadtwerke Feldkirch
Q1: GOLD STANDARD,33891,DE,33466,68.20181818181818,Core-Backbone GmbH
Q1: GOLD STANDARD,34019,FR,30745,72.60454545454546,Hivane Association
Q1: GOLD STANDARD,2914,US,28358,61.83060810810811,"NTT America, Inc."
Q1: GOLD STANDARD,50673,NL,23524,72.71262135922329,Serverius Holding B.V.
Q1: GOLD STANDARD,50300,GB,22424,83.25,CustodianDC Limited
Q1: GOLD STANDARD,48185,BE,21187,68.73333333333333,team.blue NV
Q1: GOLD STANDARD,3214,DE,20254,82.00625,xTom GmbH
Q1: GOLD STANDARD,12779,IT,19328,70.10000000000001,IT.Gate S.p.A.
Q1: GOLD STANDARD,25091,CH,17368,79.55774647887324,IP-Max SA
Q1: GOLD STANDARD,3333,NL,16781,95.85,Reseaux IP Europeens Network Coordination Centre (RIPE NCC)
Q1: GOLD STANDARD,50304,NO,14985,61.599999999999994,Blix Solutions AS
Q1: GOLD STANDARD,1836,CH,13062,75.0,green.ch AG
Q1: GOLD STANDARD,30781,FR,11253,68.52275862068964,Free Pro SAS
Q1: GOLD STANDARD,49673,RU,10432,80.0,Truenetwork LLC
Q1: GOLD STANDARD,6762,IT,10217,75.40576923076922,Telecom Italia Sparkle (Seabone)
Q1: GOLD STANDARD,6453,US,8495,64.12281553398059,TATA Communications (America) Inc
Q1: GOLD STANDARD,208972,TR,8423,94.74186046511628,GIBIRNet Iletisim
Q1: GOLD STANDARD,3491,US,8359,62.634959349593494,"PCCW Global, Inc."
Q1: GOLD STANDARD,38001,SG,7611,72.73529411764706,NewMedia Express Pte. Ltd.
Q1: GOLD STANDARD,7713,ID,6913,66.19673469387756,PT Telkom Indonesia Tbk
Q1: GOLD STANDARD,1103,NL,6517,65.49130434782609,SURF B.V.
Q1: GOLD STANDARD,3303,CH,5983,66.42831325301205,Swisscom (Schweiz) AG
Q1: GOLD STANDARD,137409,AU,5068,80.4766304347826,GSL Networks Pty LTD
Q1: GOLD STANDARD,6696,BE,4633,67.81153846153846,VERIXI SA
Q1: GOLD STANDARD,52468,PA,4613,62.19158653846154,UFINET PANAMA S.A.
Q1: GOLD STANDARD,5405,DE,3352,78.76264367816093,Inter.link GmbH
Q1: GOLD STANDARD,204092,FR,3187,84.26666666666667,Association GRIFON
Q1: GOLD STANDARD,394256,CA,3172,68.7,Tech Futures Interactive Inc.
Q1: GOLD STANDARD,12859,NL,3040,85.12142857142858,BIT BV
Q1: GOLD STANDARD,50628,FR,2556,85.1888888888889,Leonix Telecom SAS
Q1: GOLD STANDARD,13030,CH,2549,64.02615384615385,Init7 (Switzerland) Ltd.
Q1: GOLD STANDARD,64073,NZ,2031,69.79375,VETTA TRADING LIMITED
Q1: GOLD STANDARD,5511,FR,1951,70.55558823529412,Orange S.A.
Q1: GOLD STANDARD,2119,NO,1623,60.32769230769231,Telenor Norge AS
Q1: GOLD STANDARD,12956,ES,1411,65.11901140684411,Telxius (Telefonica Global)
Q1: GOLD STANDARD,7195,CO,1197,80.0677570093458,EdgeUno
Q1: GOLD STANDARD,60068,GB,720,86.08826530612245,Datacamp Limited (CDN77 / DataPacket)
Q1: GOLD STANDARD,55720,MY,685,75.82,Gigabit Hosting Sdn Bhd
Q1: GOLD STANDARD,1403,CA,592,78.85,EBOX
Q1: GOLD STANDARD,8708,RO,561,88.76393442622951,DIGI ROMANIA S.A.
Q1: GOLD STANDARD,9121,TR,519,88.28923611111111,Turk Telekom
Q1: GOLD STANDARD,23947,ID,443,73.64158878504672,PT Mora Telematika Indonesia Tbk
Q1: GOLD STANDARD,55836,IN,370,64.84827586206897,Reliance Jio Infocomm Limited
Q1: GOLD STANDARD,34984,TR,321,86.91206225680935,Superonline Iletisim Hizmetleri A.S.
Q1: GOLD STANDARD,55410,IN,321,71.04021739130435,Vodafone Idea Ltd
Q1: GOLD STANDARD,7473,SG,305,63.476969696969704,Singapore Telecommunications Ltd
Q1: GOLD STANDARD,18403,VN,289,82.39684684684684,FPT Telecom Company
Q1: GOLD STANDARD,7303,AR,287,74.75892857142857,Telecom Argentina S.A.
Q1: GOLD STANDARD,9299,PH,276,62.45698324022346,PLDT (Philippine Long Distance Telephone Company)
Q1: GOLD STANDARD,6830,NL,272,76.92872340425532,Liberty Global Europe Holding B.V.
Q1: GOLD STANDARD,15412,GB,259,74.54888888888888,Flag Telecom UK Limited
Q1: GOLD STANDARD,16276,FR,248,72.97518796992482,OVH SAS
Q1: GOLD STANDARD,22927,AR,236,80.76551724137931,Telefonica de Argentina
Q1: GOLD STANDARD,8280,GR,236,98.1375,SYNAPSECOM S.A. Provider of Telecommunications and Internet Services
Q1: GOLD STANDARD,35320,UA,233,62.09133858267717,Eurotranstelecom Ltd
Q1: GOLD STANDARD,9009,RO,229,84.70542635658914,M247 Europe SRL
Q1: GOLD STANDARD,60171,ES,209,61.815384615384616,AFR-IX TELECOM S.A.
Q1: GOLD STANDARD,4787,ID,204,67.63603603603605,PT Cyberindo Aditama
Q1: GOLD STANDARD,38195,AU,184,68.62558139534885,Superloop
Q1: GOLD STANDARD,328977,KE,183,100.0,Wavex Internet Service Provider LTD
Q1: GOLD STANDARD,263444,BR,179,60.666197183098596,Open X Tecnologia Ltda
Q1: GOLD STANDARD,45899,VN,179,75.16363636363636,VNPT Corp
Q1: GOLD STANDARD,20205,US,176,100.0,"Amplex Electric, Inc."
Q1: GOLD STANDARD,41327,IT,175,86.70992907801418,Fiber Telecom S.p.A.
Q1: GOLD STANDARD,16509,US,172,74.36170212765957,"Amazon.com, Inc."
Q1: GOLD STANDARD,50629,DE,171,80.45238095238095,LWLcom GmbH
Q1: GOLD STANDARD,8866,BG,170,96.07565217391306,Vivacom Bulgaria EAD
Q1: GOLD STANDARD,12578,LV,169,79.91075268817204,SIA Tet
Q1: GOLD STANDARD,37271,ZA,165,61.73492063492064,Workonline Communications(Pty) Ltd
Q1: GOLD STANDARD,22356,BR,151,64.50217391304348,Durand do Brasil Ltda
Q1: GOLD STANDARD,3215,FR,150,61.82666666666667,Orange S.A.
Q1: GOLD STANDARD,15924,TR,150,88.39612403100776,Vodafone Turkey
Q1: GOLD STANDARD,29075,FR,147,71.0,IELO-LIAZO SERVICES SAS
Q1: GOLD STANDARD,199524,LU,142,81.075,Gcore S.A.
Q1: GOLD STANDARD,16019,CZ,140,60.23626373626374,Vodafone Czech Republic a.s.
Q1: GOLD STANDARD,45903,VN,140,82.38191489361702,CMC Telecom Infrastructure Company
Q1: GOLD STANDARD,42020,LB,130,96.8721153846154,OGERO
Q1: GOLD STANDARD,4764,AU,125,72.67652173913042,Aussie Broadband
Q1: GOLD STANDARD,45147,ID,124,89.77575757575757,PT NAP Info Lintas Nusa
Q1: GOLD STANDARD,4775,PH,119,68.49680000000001,Globe Telecoms
Q1: GOLD STANDARD,8953,RO,118,70.36293103448276,Orange Romania S.A.
Q1: GOLD STANDARD,24534,ID,117,90.33624999999999,PT Trans Hybrid Communication
Q1: GOLD STANDARD,52320,CO,104,62.90149253731343,V.tal (GlobeNet)
Q1: GOLD STANDARD,7470,TH,96,73.2445652173913,"TRUE INTERNET Co.,Ltd."
Q1: GOLD STANDARD,29802,US,95,67.70909090909092,"HIVELOCITY, Inc."
Q1: GOLD STANDARD,137366,ID,92,79.38928571428572,PT iForte Solusi Infotek
Q1: GOLD STANDARD,11014,AR,91,78.65625,Metrotel
Q1: GOLD STANDARD,17408,TW,87,86.2657142857143,AboveNet Communications Taiwan
Q1: GOLD STANDARD,40676,US,84,78.0449275362319,Psychz Networks
Q1: GOLD STANDARD,9829,IN,82,76.85507246376811,BSNL (Bharat Sanchar Nigam Ltd)
Q1: GOLD STANDARD,12735,TR,82,88.91923076923078,TurkNet Iletisim Hizmetleri A.S.
Q1: GOLD STANDARD,57866,NL,82,81.59102564102565,Fusix Networks B.V.
Q1: GOLD STANDARD,35805,GE,81,62.73835616438355,"JSC ""Silknet"""
Q1: GOLD STANDARD,42473,AT,80,64.4,Anexia Cloud Solutions GmbH
Q1: GOLD STANDARD,47147,AT,74,71.8546875,Anexia Cloud Solutions GmbH
Q1: GOLD STANDARD,45458,TH,73,63.2078125,SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX
Q1: GOLD STANDARD,5483,HU,67,66.8157894736842,Magyar Telekom Plc.
Q1: GOLD STANDARD,24521,ID,66,73.4421052631579,PT Data Utama Dinamika
Q1: GOLD STANDARD,20965,NL,62,87.0,GEANT Vereniging
Q1: GOLD STANDARD,49800,AM,62,93.20169491525424,GNC-Alfa CJSC
Q1: GOLD STANDARD,24724,PL,60,61.48,Atman Sp. z o.o.
Q1: GOLD STANDARD,29049,AZ,60,72.11086956521739,Delta Telecom Ltd
Q1: GOLD STANDARD,202766,ES,59,92.8111111111111,LYNTIA NETWORKS S.A.
Q1: GOLD STANDARD,132280,TH,59,71.50526315789475,Symphony Communication (Thailand) PCL.
Q1: GOLD STANDARD,12541,ES,59,66.16792452830188,LYNTIA NETWORKS S.A.
Q1: GOLD STANDARD,29208,CZ,58,61.4140350877193,"Quantcom, a.s."
Q1: GOLD STANDARD,149994,BD,58,97.99666666666667,Rego Communications Ltd
Q1: GOLD STANDARD,263702,CL,57,75.35,GRUPO ZGH SPA
Q1: GOLD STANDARD,3399,SE,55,78.2,Obenet AB
Q1: GOLD STANDARD,3249,EE,54,77.725,Telia Eesti AS
Q1: GOLD STANDARD,52444,AR,51,93.28085106382979,Pogliotti & Pogliotti Construcciones S.A.
Q1: GOLD STANDARD,9931,TH,49,60.28125,National Telecom Public Company Limited
Q1: GOLD STANDARD,12301,HU,47,78.42765957446808,Invitech ICT Services Kft.
Q1: GOLD STANDARD,8283,NL,46,62.857142857142854,Netwerkvereniging Coloclue
Q1: GOLD STANDARD,45558,MM,46,79.56756756756756,Myanmar Posts and Telecommunications 
Q1: GOLD STANDARD,55850,NZ,45,86.20689655172414,Mercury NZ Limited
Q1: GOLD STANDARD,28458,MX,45,61.69714285714286,IENTC Telecom
Q1: GOLD STANDARD,24875,NL,44,80.77333333333334,NovoServe B.V.
Q1: GOLD STANDARD,16814,AR,44,79.50434782608696,NSS S.A.
Q1: GOLD STANDARD,9924,TW,44,73.64651162790697,"Taiwan Fixed Network, Telco and Network Service Provider."
Q1: GOLD STANDARD,15935,CZ,42,62.5,ha-vel internet s.r.o.
Q1: GOLD STANDARD,13576,US,42,66.77555555555556,SDN Communications
Q1: GOLD STANDARD,27951,CO,41,72.1608695652174,Media Commerce Partners S.A
Q1: GOLD STANDARD,14618,US,39,81.16749999999999,"Amazon.com, Inc."
Q1: GOLD STANDARD,6424,PT,39,73.97368421052632,EDGOO NETWORKS
Q1: GOLD STANDARD,6661,LU,37,63.75,POST Luxembourg
Q1: GOLD STANDARD,15576,CH,36,91.05945945945946,NTS workspace AG
Q1: GOLD STANDARD,20771,GE,35,65.67241379310344,Caucasus Online Ltd.
Q1: GOLD STANDARD,37497,ZA,35,75.34137931034483,Network Platforms (PTY) LTD
Q1: GOLD STANDARD,208293,IQ,35,97.5125,AlSalam State Company
Q1: GOLD STANDARD,24940,DE,35,72.13333333333334,Hetzner Online GmbH
Q1: GOLD STANDARD,133524,MM,34,74.13793103448276,"Global Technology Co., Ltd."
Q1: GOLD STANDARD,49981,NL,34,95.71428571428571,WorldStream B.V.
Q1: GOLD STANDARD,6667,FI,34,74.304,Elisa Oyj
Q1: GOLD STANDARD,2518,JP,33,63.10857142857143,BIGLOBE Inc.
Q1: GOLD STANDARD,42831,GB,33,78.10285714285715,UK Dedicated Servers Limited
