Quadrant,ASN,CC,Cone,Percentile,Name
Q1: GOLD STANDARD,4809,CN,64834,61.07293259825716,China Telecom Next Generation Carrier Network
Q1: GOLD STANDARD,34927,CH,34152,60.49243316719528,iFog GmbH
Q1: GOLD STANDARD,208972,TR,8127,66.08286451007972,GIBIRNet Iletisim
Q1: GOLD STANDARD,8218,FR,7426,69.52441749122247,Zayo Europe
Q1: GOLD STANDARD,9498,IN,7002,72.43951701427004,Bharti Airtel Ltd.
Q1: GOLD STANDARD,58057,CH,5934,64.7512,Securebit AG
Q1: GOLD STANDARD,29075,FR,4079,63.27277298850576,IELO-LIAZO SERVICES SAS
Q1: GOLD STANDARD,7713,ID,3545,62.3152152710046,PT Telkom Indonesia Tbk
Q1: GOLD STANDARD,4755,IN,2522,69.81430575035063,TATA Communications (formerly VSNL)
Q1: GOLD STANDARD,9930,MY,2348,74.95344467640918,TIME dotCom Bhd
Q1: GOLD STANDARD,64073,NZ,1690,66.96939655172415,Vetta Group
Q1: GOLD STANDARD,58717,BD,1104,99.0838157894737,Summit Communications Ltd
Q1: GOLD STANDARD,137409,AU,923,77.64208675263775,GSL Networks Pty LTD
Q1: GOLD STANDARD,25091,CH,723,64.23990024937656,IP-Max SA
Q1: GOLD STANDARD,136106,ID,691,82.98080808080809,PT Mega Akses Persada
Q1: GOLD STANDARD,30844,GB,564,62.438114400689855,Liquid Intelligent Technologies 
Q1: GOLD STANDARD,9583,IN,533,81.35265225933202,Sify Limited
Q1: GOLD STANDARD,147094,ID,529,89.15037593984962,PT Mitra Visioner Pratama
Q1: GOLD STANDARD,1221,AU,500,61.6244635193133,Telstra Limited
Q1: GOLD STANDARD,9121,TR,489,91.36762295081968,Turk Telekom
Q1: GOLD STANDARD,8708,RO,482,88.1268691588785,DIGI ROMANIA S.A.
Q1: GOLD STANDARD,16276,FR,470,82.57190721649485,OVH SAS
Q1: GOLD STANDARD,17676,JP,442,65.85240384615385,SoftBank Corp.
Q1: GOLD STANDARD,138840,ID,440,82.59789915966387,PT Parsaoran Global Datatrans
Q1: GOLD STANDARD,55720,MY,353,83.54099999999998,Gigabit Hosting Sdn Bhd
Q1: GOLD STANDARD,34984,TR,344,90.59767441860464,Superonline Iletisim Hizmetleri A.S.
Q1: GOLD STANDARD,8280,GR,339,82.8260162601626,SYNAPSECOM S.A. Provider of Telecommunications and Internet Services
Q1: GOLD STANDARD,7049,AR,337,82.7568115942029,Silica Networks Argentina S.A.
Q1: GOLD STANDARD,18403,VN,310,86.00694444444446,FPT Telecom Company
