asn,cc,name,verdict,apnic_score,cone,dirty_feeds,total_feeds
7922,US,"Comcast Cable Communications, LLC",Transit: ACTIVE LOCAL ROV,99.91,2729,5,9
4826,AU,Vocus Connect International Backbone,Transit: ACTIVE LOCAL ROV,99.36,1907,12,18
5617,PL,Orange Polska Spolka Akcyjna,Transit: ACTIVE LOCAL ROV,99.74,1186,1,2
1221,AU,Telstra Limited,Transit: ACTIVE LOCAL ROV,99.81,960,1,3
2497,JP,Internet Initiative Japan Inc.,Transit: ACTIVE LOCAL ROV,99.08,640,3,7
12741,PL,Netia SA,Transit: ACTIVE LOCAL ROV,99.26,589,10,12
3303,CH,Swisscom (Schweiz) AG,Transit: ACTIVE LOCAL ROV,99.73,503,6,11
7029,US,Windstream Communications LLC,Transit: ACTIVE LOCAL ROV,99.63,502,6,7
577,CA,Bell Canada,Transit: ACTIVE LOCAL ROV,99.75,467,6,12
3326,UA,Datagroup PJSC,Transit: ACTIVE LOCAL ROV,98.61,457,3,7
38195,AU,Superloop,Transit: ACTIVE LOCAL ROV,99.69,409,5,10
17676,JP,SoftBank Corp.,Transit: ACTIVE LOCAL ROV,99.65,401,4,8
1764,AT,Next Layer Telecommunications,Transit: ACTIVE LOCAL ROV,100.0,381,2,7
50629,DE,LWLcom GmbH,Transit: ACTIVE LOCAL ROV,98.77,360,1,5
18403,VN,FPT Telecom Company,Transit: ACTIVE LOCAL ROV,98.99,311,15,18
10796,US,Charter Communications Inc,Transit: ACTIVE LOCAL ROV,99.95,305,3,4
199524,US,Gcore S.A.,Transit: ACTIVE LOCAL ROV,99.48,278,34,46
852,CA,TELUS Communications Inc.,Transit: ACTIVE LOCAL ROV,99.81,257,2,7
1257,SE,Tele2 Sverige AB,Transit: ACTIVE LOCAL ROV,99.91,257,6,9
3214,DE,xTom GmbH,Transit: ACTIVE LOCAL ROV,99.19,220,3,7
30781,FR,Free Pro SAS,Transit: ACTIVE LOCAL ROV,100.0,203,3,5
3215,FR,Orange S.A.,Transit: ACTIVE LOCAL ROV,99.85,194,1,2
8866,BG,Vivacom Bulgaria EAD,Transit: ACTIVE LOCAL ROV,99.86,177,6,10
4764,AU,Aussie Broadband,Transit: ACTIVE LOCAL ROV,98.47,177,1,6
2119,NO,Telenor Norge AS,Transit: ACTIVE LOCAL ROV,99.94,172,4,7
4713,JP,NTT Communications Corporation (OCN),Transit: ACTIVE LOCAL ROV,98.86,167,1,2
8400,RS,Telekom Srbija a.d.,Transit: ACTIVE LOCAL ROV,99.84,164,4,7
11427,US,Charter Communications Inc,Transit: ACTIVE LOCAL ROV,99.91,149,3,3
20001,US,Charter Communications Inc,Transit: ACTIVE LOCAL ROV,99.82,147,4,6
6079,US,RCN,Transit: ACTIVE LOCAL ROV,99.79,147,1,5
3292,DK,TDC Holding A/S,Transit: ACTIVE LOCAL ROV,99.98,129,2,6
7575,AU,Australian Academic and Research Network (AARNet),Transit: ACTIVE LOCAL ROV,100.0,110,3,5
33363,US,"Charter Communications, Inc",Transit: ACTIVE LOCAL ROV,99.92,108,1,1
2518,JP,BIGLOBE Inc.,Transit: ACTIVE LOCAL ROV,98.98,106,3,5
11351,US,Charter Communications Inc,Transit: ACTIVE LOCAL ROV,99.95,98,2,2
3352,ES,TELEFONICA DE ESPANA S.A.U.,Transit: ACTIVE LOCAL ROV,99.91,96,1,1
15895,UA,"""Kyivstar"" PJSC",Transit: ACTIVE LOCAL ROV,99.81,96,1,4
12479,ES,Orange Espagne SA,Transit: ACTIVE LOCAL ROV,99.93,94,1,2
11426,US,Charter Communications Inc,Transit: ACTIVE LOCAL ROV,99.94,93,1,1
29802,US,"HIVELOCITY, Inc.",Transit: ACTIVE LOCAL ROV,98.08,91,9,15
39351,DE,31173 Services AB,Transit: ACTIVE LOCAL ROV,98.39,84,1,4
8767,DE,M-net Telekommunikations GmbH,Transit: ACTIVE LOCAL ROV,99.69,79,2,5
45177,NZ,Devoli,Transit: ACTIVE LOCAL ROV,99.7,77,3,3
5483,HU,Magyar Telekom Plc.,Transit: ACTIVE LOCAL ROV,99.89,75,2,4
9145,DE,EWE TEL GmbH,Transit: ACTIVE LOCAL ROV,99.69,63,1,5
2852,CZ,CESNET z.s.p.o.,Transit: ACTIVE LOCAL ROV,98.95,62,6,7
5089,GB,Virgin Media Limited,Transit: ACTIVE LOCAL ROV,99.66,60,1,3
16086,FI,DNA Oyj,Transit: ACTIVE LOCAL ROV,99.98,59,1,4
