asn,name,cc,cone_size,prov_rov_status,cone_avg_roa,cone_fully_signed_pct,cone_unsigned_pct,scenario
3356,Lumen (Level 3),US,69758,SECURE,49.060784426158946,44.44221451303076,47.09710714183319,SECURE (Transitioning)
1299,Arelion (fka. Telia Carrier),SE,68053,SECURE,50.82656165047829,46.09201651653858,45.263250701659004,SECURE (Transitioning)
6939,Hurricane Electric LLC,US,67373,SECURE,47.697032936042504,43.19534531637303,48.59068172710136,SECURE (Transitioning)
174,"Cogent Communications, LLC",US,67070,SECURE,50.26095273594744,45.45698523930222,45.735798419561654,SECURE (Transitioning)
3257,GTT Communications Inc.,US,61737,SECURE,51.70170562223622,46.97831122341545,44.40934933670246,SECURE (Transitioning)
2914,"NTT America, Inc.",US,59375,SECURE,52.076410947368316,47.38694736842105,44.06905263157895,SECURE (Transitioning)
6453,TATA Communications (America) Inc,US,56797,SECURE,51.372679895064806,46.79824638625279,44.88793422187792,SECURE (Transitioning)
6762,Telecom Italia Sparkle (Seabone),IT,55855,SECURE,53.804867961686384,49.19344731895086,42.46710231850327,SECURE (Transitioning)
6461,Zayo Bandwidth,US,55825,SECURE,50.593354231974885,45.92386923421406,45.53873712494402,SECURE (Transitioning)
5511,Orange S.A.,FR,54411,SECURE,53.68716987373858,49.07831137086251,42.598004080057336,SECURE (Transitioning)
701,Verizon Business,US,53334,SECURE,50.57474781565216,46.038174522818466,45.678179022762215,SECURE (Transitioning)
9002,RETN Limited,GB,52478,SECURE,53.55270780136422,48.96528068905065,42.76458706505583,SECURE (Transitioning)
3491,"PCCW Global, Inc.",US,52367,SECURE,52.95876983596526,48.400710371035196,43.3479099432849,SECURE (Transitioning)
4637,Telstra Global,HK,51225,SECURE,52.74862079062944,48.21278672523182,43.595900439238655,SECURE (Transitioning)
15412,Flag Telecom UK Limited,GB,50630,SECURE,53.14003160181695,48.58581868457436,43.18190795970768,SECURE (Transitioning)
1221,Telstra Limited,AU,50527,SECURE,53.16427652542189,48.605695964533815,43.15316563421537,SECURE (Transitioning)
4826,Vocus Connect International Backbone,AU,50527,SECURE,53.16395788390351,48.605695964533815,43.15316563421537,SECURE (Transitioning)
3320,Deutsche Telekom AG,DE,49864,SECURE,53.59769172148221,48.96919621370127,42.66605166051661,SECURE (Transitioning)
58453,China Mobile International,HK,48337,VULNERABLE,53.28226617291081,48.745267600388935,43.07259449283158,Unknown
7473,Singapore Telecommunications Ltd,SG,48114,SECURE,53.13887849690301,48.59500353327514,43.207798146069756,SECURE (Transitioning)
12956,Telxius (Telefonica Global),ES,48064,SECURE,51.07504161118496,46.425599201065246,45.11276631158455,SECURE (Transitioning)
9498,Bharti Airtel Ltd.,IN,46148,SECURE,53.4171426714048,48.881858368726704,42.942272687873796,SECURE (Transitioning)
4755,TATA Communications (formerly VSNL),IN,44931,SECURE,53.16292092319315,48.61899356791525,43.19957267810643,SECURE (Transitioning)
1273,Vodafone Group PLC,EU,44679,SECURE,53.15666196647186,48.61120436894291,43.21717137805233,SECURE (Transitioning)
58115,SwissIX Internet Exchange,CH,44312,VULNERABLE,52.09409415056861,47.47472467954504,44.13477161942589,Unknown
55836,Reliance Jio Infocomm Limited,IN,43162,SECURE,52.91311802048087,48.38051990176544,43.45025717065938,SECURE (Transitioning)
64049,Reliance Jio Infocomm Pte. Ltd.,SG,43162,VULNERABLE,52.9131041193641,48.38051990176544,43.45025717065938,VULNERABLE (Mixed)
9583,Sify Limited,IN,43162,VULNERABLE,52.9132755664704,48.38051990176544,43.45025717065938,Unknown
55410,Vodafone Idea Ltd,IN,43162,SECURE,52.91312265418645,48.38051990176544,43.45025717065938,SECURE (Transitioning)
7018,"AT&T Enterprises, LLC",US,41166,SECURE,48.31463586454835,43.8590098625079,47.94976436865374,SECURE (Transitioning)
33891,Core-Backbone GmbH,DE,41137,SECURE,51.33619612514276,46.782701704062035,44.978972700974786,SECURE (Transitioning)
24482,SG.GS,SG,41135,VULNERABLE,51.02486447064543,46.49325392001945,45.22669259754467,Unknown
7195,EdgeUno,CO,40146,SECURE,50.96951626563027,46.42056493797639,45.30712897922582,SECURE (Transitioning)
7474,SingTel Optus Pty Ltd,AU,39807,SECURE,50.92111437686825,46.361192755043085,45.37392920843068,SECURE (Transitioning)
132602,Bangladesh Submarine Cable Company Limited (BSCCL),BD,39121,VULNERABLE,51.29235448991584,46.821400270954214,45.05764167582628,Unknown
